Date,Year,Month,Day,Dens,DensSE,Veg,VegSE,Rain,Max,Min,Wind,Gusts,Chill,Warn.18,Warns.18
2007-08-01,2007,8,1,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,0
2007-08-02,2007,8,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-08-03,2007,8,3,NA,NA,NA,NA,9.6,NA,NA,NA,NA,NA,NA,0
2007-08-04,2007,8,4,NA,NA,NA,NA,18.4,NA,NA,NA,NA,NA,NA,0
2007-08-05,2007,8,5,NA,NA,NA,NA,12.8,NA,NA,NA,NA,NA,NA,0
2007-08-06,2007,8,6,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,0
2007-08-07,2007,8,7,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-08-08,2007,8,8,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-08-09,2007,8,9,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-08-10,2007,8,10,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,0
2007-08-11,2007,8,11,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,0
2007-08-12,2007,8,12,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,0
2007-08-13,2007,8,13,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,0
2007-08-14,2007,8,14,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,0
2007-08-15,2007,8,15,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-08-16,2007,8,16,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-08-17,2007,8,17,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-08-18,2007,8,18,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,0
2007-08-19,2007,8,19,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,0
2007-08-20,2007,8,20,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-08-21,2007,8,21,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-08-22,2007,8,22,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-08-23,2007,8,23,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-08-24,2007,8,24,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-08-25,2007,8,25,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-08-26,2007,8,26,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-08-27,2007,8,27,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
2007-08-28,2007,8,28,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0
