2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
