2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,3,4,5,6,7,8,8,9,10,11,12,13,14,15,16
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
NA,NA,NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12
NA,NA,NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12
NA,NA,NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12
NA,NA,NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12
NA,NA,NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13
NA,NA,NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12
NA,NA,NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12
NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
NA,NA,NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NA,NA,NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
NA,NA,NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8,9,10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8,9,10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8,9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
