ID,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
2,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5
3,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5
6,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5
7,1,1,1,1,1,1,1,1,3,5,5,5,5,5,5,5,5
8,1,1,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5
9,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
12,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5
17,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
18,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
20,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
21,1,1,1,1,1,1,1,3,5,5,5,5,5,5,5,5,5
23,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5
24,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
27,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5
30,1,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5
32,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5
34,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5
36,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5
38,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5
40,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
41,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
43,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5
44,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5
46,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5
47,1,1,1,1,1,1,1,1,3,5,5,5,5,5,5,5,5
48,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
49,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
50,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5
51,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5
53,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5
54,1,1,1,1,1,1,1,1,3,5,5,5,5,5,5,5,5
55,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5
57,1,1,1,1,5,1,5,2,5,5,5,5,5,5,5,5,5
58,1,1,1,1,1,3,5,5,5,5,5,5,5,5,5,5,5
59,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5
61,1,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5
64,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5
66,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
68,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5
70,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5
74,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
75,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
76,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5
77,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5
78,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5
80,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
81,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5
85,999,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5
86,999,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5
87,999,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
88,999,1,1,1,2,2,5,5,5,2,3,5,5,5,5,5,5
89,999,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5
90,999,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5
92,999,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
94,999,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
97,999,1,1,1,3,5,5,5,5,5,5,5,5,5,5,5,5
100,999,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
101,999,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5
102,999,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5
104,999,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
105,999,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5
106,999,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
108,999,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
111,999,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5
112,999,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5
113,999,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5,5
115,999,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5
116,999,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5
121,999,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
122,999,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5
125,999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
126,999,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5
129,999,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5
131,999,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5
133,999,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5
135,999,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5
137,999,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5
139,999,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5,5
140,999,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
141,999,1,1,1,1,3,5,5,5,5,5,5,5,5,5,5,5
142,999,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
145,999,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5
148,999,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5
150,999,1,1,1,1,3,5,5,5,5,5,5,5,5,5,5,5
151,999,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5
152,999,1,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5
154,999,1,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5
155,999,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5
156,999,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5
159,999,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5
166,999,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5
175,999,999,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5
180,999,999,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5
189,999,999,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5
191,999,999,1,1,1,1,1,1,1,1,1,2,5,5,5,5,5
193,999,999,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5
194,999,999,1,1,1,1,1,4,5,5,5,5,5,5,5,5,5
198,999,999,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
199,999,999,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5
205,999,999,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5
206,999,999,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5
207,999,999,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5
208,999,999,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5
210,999,999,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5
211,999,999,1,1,1,1,1,1,3,5,5,5,5,5,5,5,5
215,999,999,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5
216,999,999,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5
217,999,999,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5
219,999,999,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
224,999,999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5
228,999,999,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5
236,999,999,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5
237,999,999,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5
242,999,999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
244,999,999,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5
246,999,999,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5
247,999,999,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5
249,999,999,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5
250,999,999,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5
253,999,999,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5
258,999,999,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5
263,999,999,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5
