Information and diagnostics 
=========================== 
Total iter:                       5000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.03 
Min n.eff:                        334 


Model summary 
============= 
                   mean         sd        2.5%         50%      97.5% Rhat n.eff
B.dens[1]   -0.32258621 0.45071131 -1.21557556 -0.33188256 0.57262029 1.00  1684
B.dens[2]    0.06715789 0.40835358 -0.70958656  0.05691907 0.88141363 1.00  1028
B.dens[3]    0.01312639 0.41541422 -0.79209537  0.01788070 0.84022655 1.01   938
B.dens[4]   -0.23826643 0.38959676 -0.99893902 -0.23985924 0.52323433 1.00   753
B.dens[5]   -0.53579512 0.30222848 -1.13388490 -0.53918783 0.06262752 1.01   490
mean.M       0.04163264 0.00481934  0.03258747  0.04151472 0.05175342 1.00  3030
mean.Pi[1]   0.79986769 0.12150215  0.51372032  0.82075333 0.97216288 1.00 15617
mean.Pi[2]   0.95426987 0.03021322  0.88006495  0.96022001 0.99381589 1.00  2239
mean.Pi[3]   0.96131041 0.02665501  0.89425546  0.96714638 0.99556838 1.00  2003
mean.Pi[4]   0.97343895 0.01785603  0.92932634  0.97702183 0.99666156 1.01  2196
mean.Pi[5]   0.96637949 0.01937787  0.91853356  0.97028323 0.99332144 1.00  2775
mean.Pi[6]   0.97850419 0.01481265  0.94052884  0.98181418 0.99694907 1.01  2231
mean.Pi[7]   0.97599526 0.01653765  0.93540328  0.97964024 0.99695823 1.00  2372
mean.Pi[8]   0.97746666 0.01596619  0.93608301  0.98117085 0.99726692 1.00  2134
mean.Pi[9]   0.97198427 0.01950408  0.92211130  0.97686503 0.99632337 1.00  1887
mean.Pi[10]  0.97571168 0.01669082  0.93429128  0.97935565 0.99710233 1.00  2218
mean.Pi[11]  0.97700126 0.01586355  0.93921308  0.98032903 0.99748930 1.00  2083
mean.Pi[12]  0.98111230 0.01312603  0.94805696  0.98375444 0.99772347 1.00  2159
mean.Pi[13]  0.98066700 0.01347722  0.94680533  0.98367645 0.99783013 1.00  2068
mean.Pi[14]  0.97664502 0.01643121  0.93596263  0.98004529 0.99754146 1.00  1834
mean.Pi[15]  0.97924292 0.01419883  0.94326625  0.98234453 0.99740519 1.01  2049
mean.Pi[16]  0.97249674 0.01558103  0.93474247  0.97507340 0.99492804 1.00  2100
mean.Pi[17]  0.95408954 0.02334339  0.90334434  0.95706370 0.99059675 1.00  1300
mean.Po[1]   0.50144256 0.16683477  0.18193768  0.50318662 0.82011979 1.00 14064
mean.Po[2]   0.49984441 0.16956762  0.18446884  0.50309001 0.81306932 1.00  3501
mean.Po[3]   0.39237173 0.13254060  0.15574987  0.38509688 0.66373532 1.00  3276
mean.Po[4]   0.31739893 0.11177387  0.12073768  0.31002046 0.55118613 1.00  3502
mean.Po[5]   0.29299947 0.10912654  0.11218431  0.28365696 0.53175136 1.00  3300
mean.Po[6]   0.25207601 0.09591246  0.09195473  0.24394424 0.45928119 1.00  3260
mean.Po[7]   0.17527852 0.07760975  0.05190823  0.16599139 0.35067042 1.00  2939
mean.Po[8]   0.20159363 0.07771469  0.07539123  0.19324305 0.37010376 1.00  3089
mean.Po[9]   0.16818389 0.07066716  0.05813814  0.15886305 0.32916416 1.00  3055
mean.Po[10]  0.19716756 0.06605862  0.08635048  0.19078190 0.34481366 1.00  3126
mean.Po[11]  0.15909274 0.05867282  0.06096493  0.15341736 0.29080516 1.00  3172
mean.Po[12]  0.17152646 0.05740001  0.07573350  0.16548244 0.29652475 1.00  3275
mean.Po[13]  0.08539658 0.04135729  0.02397171  0.07953012 0.18489107 1.01  2426
mean.Po[14]  0.06509972 0.03079470  0.01862619  0.06107650 0.13624979 1.00  2905
mean.Po[15]  0.06205745 0.02917735  0.01715440  0.05823338 0.13177788 1.00  2842
mean.Po[16]  0.05447474 0.02594016  0.01536281  0.05088647 0.11385823 1.00  2797
mean.Po[17]  0.06674298 0.02844718  0.02217999  0.06333713 0.13105488 1.00  3293
mean.R       0.23236808 0.03609722  0.16641965  0.23061011 0.30940802 1.00  3286
mean.rO[1]   0.50013405 0.16685652  0.18672607  0.49837546 0.81581930 1.00 15456
mean.rO[2]   0.50264515 0.16525148  0.19401875  0.50264977 0.81990608 1.00  3844
mean.rO[3]   0.71122147 0.11872576  0.45714668  0.72223994 0.90884445 1.00  3399
mean.rO[4]   0.73639768 0.10929080  0.49457667  0.74867007 0.91589157 1.00  3241
mean.rO[5]   0.74853945 0.10206630  0.52487592  0.75835007 0.92013261 1.00  3393
mean.rO[6]   0.63612123 0.13912287  0.34278700  0.64370572 0.88096157 1.00  3419
mean.rO[7]   0.83981141 0.07163321  0.67825037  0.84777596 0.95102307 1.00  3202
mean.rO[8]   0.64226405 0.13774721  0.35344484  0.65186634 0.87893426 1.00  3471
mean.rO[9]   0.78743961 0.09326272  0.57269940  0.79825837 0.93613392 1.00  2991
mean.rO[10]  0.79967942 0.09058951  0.58868845  0.81202331 0.94110901 1.00  2864
mean.rO[11]  0.66533212 0.13015534  0.39021390  0.67375340 0.88658415 1.00  3450
mean.rO[12]  0.63889311 0.13782843  0.35465866  0.64514510 0.88036702 1.00  3474
mean.rO[13]  0.75056782 0.10437740  0.51785659  0.76050101 0.92237399 1.00  3167
mean.rO[14]  0.49644874 0.16894645  0.17662553  0.49691863 0.82182396 1.00  3466
mean.rO[15]  0.77795858 0.09706423  0.56354983  0.78827628 0.93128059 1.00  3126
mean.rO[16]  0.60091731 0.14909235  0.29105955  0.60932485 0.86214425 1.00  3328
mean.rO[17]  0.34954619 0.15607116  0.09369038  0.33510313 0.69207167 1.00  2123
mean.rR[1]   0.50023788 0.16694461  0.18298568  0.50048987 0.81487609 1.00 14637
mean.rR[2]   0.55319511 0.15772830  0.24007551  0.55764976 0.83981286 1.00  3574
mean.rR[3]   0.50299258 0.16844758  0.18840953  0.49946893 0.82126318 1.00  3752
