Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.14 
Min n.eff:                        0 


Model summary 
============= 
                       mean          sd          2.5%          50%       97.5% Rhat n.eff
betaD.R[1]      -0.03475512 0.741392110 -1.514916e+00 -0.023716417  1.39523719 1.00  4975
betaD.R[2]       0.61538809 0.690878709 -7.608993e-01  0.610135296  1.97914567 1.00  4427
betaD.R[3]      -0.35607574 0.678795817 -1.740779e+00 -0.339596166  0.92824191 1.00  4325
betaD.R[4]       0.68979074 0.540763776 -3.848662e-01  0.695892035  1.76015055 1.00  5769
betaD.R[5]      -1.10756265 0.653092956 -2.470714e+00 -1.084229693  0.11601105 1.01  3115
betaD.R[6]      -0.09671436 0.492491691 -1.118610e+00 -0.086462500  0.82984425 1.00  2757
betaD.phi[1]    -0.50536386 0.357422905 -1.231150e+00 -0.501884036  0.18979677 1.01   637
betaD.phi[2]     0.15834016 0.428085447 -6.738780e-01  0.153598228  1.02971323 1.01  1390
betaD.phi[3]    -0.05363864 0.386470397 -8.028905e-01 -0.060312594  0.71265007 1.00  1156
betaD.phi[4]     0.24166973 0.322547038 -3.722802e-01  0.235396263  0.88371869 1.00  1525
betaD.phi[5]    -0.35495303 0.358629435 -1.053269e+00 -0.361663840  0.35879082 1.01  1732
betaD.phi[6]    -0.29002742 0.340821016 -9.379579e-01 -0.299030520  0.40073101 1.01   618
betaV.R[1]      -0.08999410 0.737993290 -1.559865e+00 -0.085950267  1.32898700 1.00  4702
betaV.R[2]       1.12848216 0.737135420 -2.592886e-01  1.107482050  2.62646874 1.00  4358
betaV.R[3]      -0.60451355 0.756815392 -2.121555e+00 -0.591940421  0.87188708 1.00  4863
betaV.R[4]      -1.02411552 0.577452597 -2.230020e+00 -1.013465963  0.05514299 1.00  4662
betaV.R[5]      -0.44231067 0.791137174 -2.047369e+00 -0.423097132  1.07200827 1.00  2835
betaV.R[6]      -0.31595830 0.609291239 -1.552404e+00 -0.303216429  0.85489291 1.00  2089
betaV.phi[1]     0.43736906 0.378559132 -3.039901e-01  0.437394302  1.20162191 1.01   689
betaV.phi[2]     0.30431471 0.458624085 -6.112562e-01  0.304475399  1.18963666 1.01  1485
betaV.phi[3]    -0.21156777 0.400420523 -1.040939e+00 -0.197796592  0.55589264 1.00  1067
betaV.phi[4]    -0.08656782 0.329795931 -7.322170e-01 -0.084640538  0.57280025 1.00  1558
betaV.phi[5]     0.49807216 0.401984046 -3.101445e-01  0.513047297  1.26988894 1.01  1707
betaV.phi[6]     0.28058834 0.368877314 -4.719890e-01  0.301232422  0.97487954 1.02   583
mean.R[1, 1]     0.02946857 0.043832155  6.806290e-04  0.016557808  0.13459483 1.01  7220
mean.R[2, 1]     0.45342884 0.274264778  2.393298e-02  0.424600746  0.96994468 1.01  1758
mean.R[3, 1]     0.07902214 0.101772170  1.436192e-03  0.047290925  0.36818421 1.01  3876
mean.R[4, 1]     0.17697390 0.170462605  4.406396e-03  0.126590930  0.65572529 1.01  1319
mean.R[5, 1]     0.10254392 0.115590094  2.048168e-03  0.065980825  0.43017192 1.00  3767
mean.R[6, 1]     0.12212478 0.103670900  1.910702e-02  0.094447388  0.42086380 1.00  3678
mean.R[1, 2]     0.03192330 0.042970311  2.807639e-04  0.015722279  0.15414941 1.00  7864
mean.R[2, 2]     0.73985702 0.217377967  2.165224e-01  0.802105723  0.99110295 1.00  8183
mean.R[3, 2]     0.04317580 0.061777349  3.094282e-04  0.019123773  0.22535877 1.00  8091
mean.R[4, 2]     0.13327423 0.132431946  3.850249e-03  0.088420954  0.49152602 1.00  6616
mean.R[5, 2]     0.04336498 0.073462028  2.378360e-04  0.014455786  0.26206446 1.00  3911
mean.R[6, 2]     0.07000681 0.057096780  4.813201e-03  0.055021235  0.21850095 1.00  6371
mean.R[1, 3]     0.03924754 0.059393687  1.411296e-04  0.015621120  0.21296409 1.00  9039
mean.R[2, 3]     0.80910605 0.204969751  2.535371e-01  0.888937116  0.99763766 1.00  8641
mean.R[3, 3]     0.04146372 0.069792133  1.039718e-04  0.013512649  0.25046760 1.00  8714
mean.R[4, 3]     0.13824739 0.154825296  1.916145e-03  0.079698252  0.56882839 1.00  6955
mean.R[5, 3]     0.03634242 0.074548242  6.341977e-05  0.008055102  0.25999946 1.00  4539
mean.R[6, 3]     0.06841685 0.065448005  2.617835e-03  0.048229589  0.24481225 1.00  6917
mean.R[1, 4]     0.02757291 0.033262209  4.663119e-04  0.015844907  0.12292163 1.00  6411
mean.R[2, 4]     0.67381644 0.218080880  2.019955e-01  0.711454436  0.97708749 1.00  7627
mean.R[3, 4]     0.04559236 0.057271666  7.086320e-04  0.024572117  0.21126581 1.00  7260
mean.R[4, 4]     0.09857485 0.093404086  4.551959e-03  0.069303790  0.35120211 1.00  6017
mean.R[5, 4]     0.06400473 0.090329366  7.825898e-04  0.028162913  0.33034744 1.00  3336
mean.R[6, 4]     0.07293257 0.055181578  6.481810e-03  0.059683330  0.21438251 1.00  4612
mean.R[1, 5]     0.02961113 0.034924815  1.156321e-03  0.017609481  0.12831702 1.00  4583
mean.R[2, 5]     0.19814070 0.147481094  2.047897e-02  0.160563855  0.57179671 1.00  4239
mean.R[3, 5]     0.12231876 0.110164327  8.463646e-03  0.088635651  0.41839446 1.01  3785
mean.R[4, 5]     0.35779489 0.147767947  1.075001e-01  0.346215529  0.66757796 1.00  5449
mean.R[5, 5]     0.11977095 0.092392682  1.375897e-02  0.094876535  0.35879305 1.01  3377
mean.R[6, 5]     0.12742451 0.078230507  2.204293e-02  0.111412449  0.31808233 1.00  2904
mean.R[1, 6]     0.02615511 0.027638231  1.402286e-03  0.017056022  0.10278800 1.00  4260
mean.R[2, 6]     0.18827111 0.127530463  2.627656e-02  0.158910869  0.50703195 1.00  4394
mean.R[3, 6]     0.11238665 0.092946361  1.046281e-02  0.086227765  0.35668669 1.01  3728
mean.R[4, 6]     0.30582239 0.123264416  1.009476e-01  0.294336974  0.57356455 1.00  5475
mean.R[5, 6]     0.12320851 0.081700389  1.974205e-02  0.104584107  0.32822612 1.01  3316
mean.R[6, 6]     0.11789838 0.063694536  2.703849e-02  0.106710944  0.26886355 1.00  3044
mean.R[1, 7]     0.02714748 0.026757451  1.612438e-03  0.018874305  0.10015060 1.00  4809
mean.R[2, 7]     0.08278836 0.066428275  1.030865e-02  0.064144762  0.26211336 1.00  5242
mean.R[3, 7]     0.17073630 0.118809551  2.200095e-02  0.142838755  0.46505405 1.01  4700
mean.R[4, 7]     0.30837595 0.113880411  1.166571e-01  0.297965748  0.55198538 1.00  6970
mean.R[5, 7]     0.25999435 0.120427042  7.560595e-02  0.243979184  0.53525415 1.00  4004
mean.R[6, 7]     0.14397588 0.076146572  3.626302e-02  0.131197205  0.32485794 1.00  2706
mean.R[1, 8]     0.02388894 0.019273087  2.085306e-03  0.018911317  0.07356305 1.00  4901
