Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.06 
Min n.eff:                        0 


Model summary 
============= 
                        mean          sd         2.5%           50%       97.5% Rhat n.eff
betaVR.R[1]      0.378991498 0.564101386 -0.617283931  3.438035e-01  1.59510723 1.00  3282
betaVR.R[2]     -0.609559451 0.421065649 -1.447251115 -6.003292e-01  0.19812048 1.00  4418
betaVR.R[3]      0.621457124 0.585120791 -0.509506792  6.168971e-01  1.80368677 1.00  4878
betaVR.R[4]      0.024952982 0.401155634 -0.731378740  1.224799e-02  0.83088086 1.00  4444
betaVR.phi[1]   -0.163609405 0.270920233 -0.714124845 -1.598367e-01  0.35756772 1.01  1799
betaVR.phi[2]   -0.112835971 0.239499882 -0.577135257 -1.171332e-01  0.36923620 1.00  1929
betaVR.phi[3]    0.228862570 0.290671405 -0.358586728  2.352556e-01  0.78529687 1.00  2184
betaVR.phi[4]    0.195295028 0.254385614 -0.312011601  1.979060e-01  0.68912163 1.00  1388
betaX.R         -0.934821013 0.260612005 -1.458981347 -9.272772e-01 -0.44855845 1.00  2786
betaX.phi        0.413592933 0.092535016  0.234861415  4.137681e-01  0.59862868 1.00  4754
eps.R[1]         0.156242928 0.524909994 -0.740623743  4.887669e-02  1.48639146 1.00  1637
eps.R[2]        -0.185910813 0.489434710 -1.463279556 -6.923505e-02  0.56036251 1.01  1068
eps.R[3]        -0.158454911 0.428876961 -1.236281782 -6.803691e-02  0.56726962 1.01  2004
eps.R[4]        -0.149678787 0.437125320 -1.255426773 -5.923433e-02  0.58056476 1.01  1963
eps.R[5]         0.084858486 0.427663362 -0.758713508  3.131458e-02  1.11053556 1.01  3055
eps.R[6]        -0.306530796 0.500704151 -1.617496285 -1.562114e-01  0.40317100 1.01   641
eps.R[7]        -0.130804485 0.452225664 -1.253732267 -5.146327e-02  0.67691202 1.00  2212
eps.R[8]         0.109935646 0.336289172 -0.528431885  6.189743e-02  0.88122344 1.00  3399
eps.R[9]         0.086310663 0.351370229 -0.601682394  4.186838e-02  0.89347450 1.00  2984
eps.R[10]        0.168005423 0.416379332 -0.564395041  8.816652e-02  1.15523433 1.01  1910
eps.R[11]       -0.005283822 0.439999848 -0.978929805  2.018593e-03  0.91112367 1.00  3598
eps.R[12]       -0.279090019 0.527503766 -1.632194154 -1.331033e-01  0.40862305 1.00   607
eps.R[13]        0.148941730 0.387878593 -0.547410433  8.180216e-02  1.08413306 1.00  2250
eps.R[14]        0.009784463 0.390989542 -0.833961755  2.801677e-03  0.85683661 1.00  4341
eps.R[15]       -0.006056465 0.420003032 -0.933301217 -8.791381e-04  0.87907436 1.00  3642
eps.R[16]       -0.156381382 0.411511750 -1.175208865 -7.669470e-02  0.55702956 1.00  2037
eps.R[17]       -0.250198471 0.523217654 -1.627862113 -1.069669e-01  0.48382265 1.01   898
eps.p[1]         0.000000000 0.000000000  0.000000000  0.000000e+00  0.00000000  NaN     0
eps.p[2]         0.005855293 0.128029562 -0.253463924 -1.970549e-05  0.29280592 1.02  2994
eps.p[3]         0.011811750 0.126648065 -0.218452141  2.155931e-03  0.30586389 1.03  2139
eps.p[4]         0.002513490 0.129132834 -0.262712587  1.197872e-03  0.28943547 1.01  1815
eps.p[5]        -0.005215038 0.134677646 -0.283690956 -1.237147e-03  0.25693101 1.02  1884
eps.p[6]         0.013018145 0.129527600 -0.226845131  3.418521e-03  0.31190270 1.01  1417
eps.p[7]        -0.025940209 0.154136526 -0.337767813 -5.236442e-03  0.18838923 1.01  1385
eps.p[8]        -0.007531068 0.122887319 -0.285583412 -2.306094e-03  0.24209177 1.03  2292
eps.p[9]        -0.012593984 0.140817853 -0.325703571 -2.190704e-03  0.24579180 1.02  1885
eps.p[10]        0.007121052 0.127456141 -0.240986585  3.807425e-04  0.29399803 1.01  2185
eps.p[11]        0.012065770 0.134311629 -0.232256623  2.207015e-03  0.31898072 1.00  1959
eps.p[12]        0.018601739 0.144201643 -0.219848305  3.211412e-03  0.33995611 1.04  1777
eps.p[13]        0.010869067 0.127882199 -0.231339578  1.912372e-03  0.30189623 1.03  1866
eps.p[14]        0.017820031 0.128413178 -0.208082120  4.350614e-03  0.34057449 1.01  2096
eps.p[15]        0.017908646 0.147877982 -0.224063871  2.588427e-03  0.34363305 1.06  1967
eps.p[16]       -0.001731942 0.131094269 -0.270098642 -4.985724e-04  0.26219774 1.03  3086
eps.p[17]       -0.004041891 0.132116493 -0.278142907  4.996982e-04  0.25901775 1.02  1734
eps.p[18]       -0.007681707 0.141743340 -0.293675440 -8.855761e-04  0.25578296 1.01  2521
eps.phi[1, 1]    0.398935319 0.619715193 -0.747159633  3.601548e-01  1.71666055 1.00  5510
eps.phi[2, 1]    0.126477186 0.657730901 -1.142072847  1.075747e-01  1.48605305 1.00  6253
eps.phi[3, 1]    0.227866586 0.638642512 -0.963490084  2.064881e-01  1.57915781 1.00  6203
eps.phi[4, 1]    0.739834613 0.548496308 -0.270783070  7.156248e-01  1.88828986 1.00  3535
eps.phi[1, 2]   -0.301072422 0.510752806 -1.302137654 -3.082796e-01  0.71956854 1.00  5729
eps.phi[2, 2]    0.010162726 0.580449448 -1.097147680 -3.664467e-03  1.19398498 1.00  6306
eps.phi[3, 2]    0.306122638 0.614858575 -0.844946880  2.836945e-01  1.58176238 1.00  5953
eps.phi[4, 2]   -0.168636386 0.438962831 -1.039641890 -1.652607e-01  0.69060679 1.00  5585
eps.phi[1, 3]    0.183001317 0.458061329 -0.683632506  1.640850e-01  1.12007877 1.00  5295
eps.phi[2, 3]    0.537882832 0.582534058 -0.500577366  5.019392e-01  1.78770972 1.00  5385
eps.phi[3, 3]   -0.356884197 0.574271297 -1.516253331 -3.469255e-01  0.76960962 1.00  5240
eps.phi[4, 3]    0.052799100 0.448268127 -0.810717885  4.886506e-02  0.95129655 1.00  5466
eps.phi[1, 4]    0.555186439 0.485639101 -0.330485841  5.339604e-01  1.57765683 1.00  4001
eps.phi[2, 4]   -0.315969648 0.493152165 -1.292685924 -3.169143e-01  0.65424015 1.00  4586
eps.phi[3, 4]    0.411548520 0.604627577 -0.730504286  3.946811e-01  1.65955075 1.00  5500
eps.phi[4, 4]    0.091477141 0.476118646 -0.838779064  8.556606e-02  1.05030478 1.00  5451
eps.phi[1, 5]   -0.115495270 0.587772071 -1.281243114 -1.181775e-01  1.05920157 1.01  3669
eps.phi[2, 5]   -0.130009199 0.520053643 -1.167001696 -1.268617e-01  0.90825989 1.00  2626
eps.phi[3, 5]    0.668750286 0.596674421 -0.445946393  6.384261e-01  1.93130423 1.00  3912
eps.phi[4, 5]    0.640893251 0.554108351 -0.409106816  6.216939e-01  1.77953307 1.00  2332
eps.phi[1, 6]    0.100117037 0.593434575 -1.026612436  8.225645e-02  1.30711638 1.01  4865
eps.phi[2, 6]    0.571683893 0.544885123 -0.440227608  5.407672e-01  1.71623220 1.00  3451
eps.phi[3, 6]   -0.807921753 0.555640138 -1.973300012 -7.791349e-01  0.21584099 1.00  1960
eps.phi[4, 6]   -0.758291473 0.534998804 -1.888986664 -7.297505e-01  0.23546839 1.00  2158
eps.phi[1, 7]   -0.009560798 0.602727687 -1.189654596 -2.228311e-02  1.22690034 1.00  5958
eps.phi[2, 7]   -0.040465390 0.513538803 -1.078268811 -4.149109e-02  0.96681194 1.00  2811
eps.phi[3, 7]    0.697732285 0.598350299 -0.404167769  6.553330e-01  1.96946298 1.00  3775
eps.phi[4, 7]    0.373658884 0.594905574 -0.766235636  3.557144e-01  1.59538944 1.00  4736
eps.phi[1, 8]   -0.258225537 0.559820872 -1.372912278 -2.529300e-01  0.83807053 1.00  5686
eps.phi[2, 8]   -0.247015429 0.438233922 -1.099405416 -2.531441e-01  0.63156990 1.00  3850
eps.phi[3, 8]   -0.934337786 0.451529744 -1.840783990 -9.264723e-01 -0.07318756 1.00  2180
eps.phi[4, 8]   -0.678569209 0.508113444 -1.736637544 -6.606807e-01  0.26380327 1.00  3529
eps.phi[1, 9]    0.332281741 0.610476648 -0.826612998  3.094778e-01  1.60647153 1.00  5818
eps.phi[2, 9]   -0.912311251 0.493792019 -1.891432050 -9.083885e-01  0.04526464 1.00  2136
eps.phi[3, 9]   -0.609409411 0.422962709 -1.449976123 -6.031198e-01  0.20888030 1.00  2957
eps.phi[4, 9]   -1.061702605 0.528836218 -2.158970579 -1.037938e+00 -0.10237282 1.00  2213
eps.phi[1, 10]   0.322587830 0.494353538 -0.617985758  3.078223e-01  1.32503900 1.00  4516
eps.phi[2, 10]   0.022547840 0.572003462 -1.067611408  3.460405e-03  1.19775048 1.00  6785
eps.phi[3, 10]  -0.167191813 0.446171882 -1.041025395 -1.644335e-01  0.72319764 1.00  3965
eps.phi[4, 10]   0.329776747 0.561186011 -0.725796651  3.059281e-01  1.49991391 1.00  6432
eps.phi[1, 11]   0.040820396 0.458682155 -0.838102594  2.793279e-02  0.98523696 1.00  3202
eps.phi[2, 11]   0.380989039 0.622668643 -0.748289127  3.455020e-01  1.74364527 1.00  5551
eps.phi[3, 11]   0.607945622 0.592399736 -0.464752215  5.749826e-01  1.90353194 1.00  3511
