Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.14 
Min n.eff:                        0 


Model summary 
============= 
                        mean          sd         2.5%           50%       97.5% Rhat n.eff
betaVR.R[1]      0.535593091 0.720803227 -0.862674914  5.204962e-01  1.96702089 1.00  1445
betaVR.R[2]     -0.619408820 0.613672133 -1.829532108 -6.146096e-01  0.58981007 1.01  2208
betaVR.R[3]      0.695371596 0.691222288 -0.628158143  6.881520e-01  2.07886270 1.00  4102
betaVR.R[4]      0.162510626 0.503152403 -0.852998915  1.645623e-01  1.14368834 1.00  2413
betaVR.phi[1]   -0.137702734 0.275027400 -0.693033137 -1.327317e-01  0.38381603 1.01  1706
betaVR.phi[2]   -0.118585700 0.244464853 -0.592901594 -1.226932e-01  0.37740238 1.00  1710
betaVR.phi[3]    0.239001225 0.290483994 -0.344327709  2.469488e-01  0.79062042 1.00  2076
betaVR.phi[4]    0.186008415 0.257854606 -0.335579452  1.903334e-01  0.66891292 1.00  1406
betaX.R         -1.430060086 0.351707880 -2.159427629 -1.421640e+00 -0.76929824 1.03  1490
betaX.phi        0.425119011 0.094038880  0.242866970  4.249027e-01  0.61279445 1.00  4727
eps.R[1]         0.779874335 1.284060455 -1.381839228  5.823771e-01  3.75478185 1.01  2099
eps.R[2]        -0.644241529 1.145681040 -3.300917951 -4.731765e-01  1.24266843 1.01  2452
eps.R[3]        -0.922158626 0.953202850 -3.075337829 -7.985480e-01  0.61961368 1.03  1310
eps.R[4]        -1.346564543 1.012847674 -3.607568707 -1.232566e+00  0.24335428 1.05   979
eps.R[5]         0.267465143 0.928819916 -1.617003819  2.402566e-01  2.14330101 1.01  2499
eps.R[6]        -0.944793064 1.011481615 -3.248713570 -8.227047e-01  0.73552690 1.02  1250
eps.R[7]        -0.659935615 1.011601186 -2.954838172 -5.398310e-01  1.05659466 1.01  1756
eps.R[8]         0.271342737 0.600429433 -0.914850427  2.507280e-01  1.48415709 1.00  2680
eps.R[9]         0.259729978 0.589929002 -0.899670577  2.434304e-01  1.46795755 1.01  3120
eps.R[10]        0.699108931 0.840693229 -0.819092384  6.317838e-01  2.46859227 1.01  2098
eps.R[11]       -0.387355051 0.950909118 -2.478035544 -2.937862e-01  1.33845691 1.01  2722
eps.R[12]       -0.778671623 1.130496743 -3.402989634 -6.059817e-01  1.04872261 1.04  1551
eps.R[13]        2.117228590 1.408107872 -0.031043830  1.980747e+00  5.34531769 1.06   486
eps.R[14]       -0.272303420 0.770630129 -1.931465155 -2.251642e-01  1.17156820 1.01  3220
eps.R[15]        0.042135187 0.957773563 -2.007693675  5.866648e-02  1.89811998 1.00  3110
eps.R[16]        0.018142867 0.943810534 -1.962117248  1.627356e-02  1.96233125 1.01  2231
eps.R[17]       -0.021533613 1.360355000 -2.948228363  6.024916e-03  2.77349077 1.02  1285
eps.p[1]         0.000000000 0.000000000  0.000000000  0.000000e+00  0.00000000  NaN     0
eps.p[2]         0.009787413 0.156845556 -0.294183639  5.855216e-04  0.35000737 1.08  1236
eps.p[3]         0.005165330 0.147053000 -0.303444214  8.218787e-04  0.33643898 1.07  1906
eps.p[4]         0.007897827 0.134353895 -0.257934208  1.406101e-03  0.31316448 1.04  2192
eps.p[5]        -0.008490846 0.142066110 -0.335316590 -1.176062e-03  0.28488481 1.04  1801
eps.p[6]         0.016209729 0.147076954 -0.261903060  5.655140e-03  0.36259811 1.07  1859
eps.p[7]        -0.026297141 0.159562364 -0.422642113 -5.551286e-03  0.24411040 1.06   974
eps.p[8]        -0.001966948 0.148033580 -0.314861135 -8.460632e-04  0.30579849 1.07  1781
eps.p[9]        -0.003622989 0.145357303 -0.325760142 -1.847208e-04  0.28879654 1.07  1146
eps.p[10]        0.013792722 0.152528048 -0.285728402  3.687554e-03  0.36800919 1.09  1704
eps.p[11]        0.010557727 0.142483110 -0.264795852  1.865490e-03  0.33444417 1.05  1984
eps.p[12]        0.012132932 0.150981442 -0.274159569  2.470968e-03  0.35048176 1.10  1862
eps.p[13]        0.023469997 0.157506956 -0.240559240  4.733490e-03  0.41143064 1.08  1133
eps.p[14]        0.012825205 0.140328850 -0.267107805  3.843846e-03  0.35064399 1.08  2268
eps.p[15]        0.017687153 0.146386085 -0.264029795  4.400177e-03  0.37650340 1.08  2107
eps.p[16]       -0.003652047 0.145020246 -0.324291959 -1.405889e-03  0.30099012 1.04  1837
eps.p[17]        0.002909380 0.141493648 -0.297976349  3.177935e-05  0.31709123 1.06  2321
eps.p[18]       -0.005733252 0.161518239 -0.332653993 -7.844817e-04  0.31760896 1.10  1503
eps.phi[1, 1]    0.439869391 0.624873215 -0.704377400  4.073858e-01  1.76809274 1.00  5344
eps.phi[2, 1]    0.122692314 0.666392424 -1.155974859  1.084739e-01  1.49619715 1.00  6779
eps.phi[3, 1]    0.233020983 0.647177433 -0.981129746  2.110973e-01  1.57161593 1.00  6371
eps.phi[4, 1]    0.763334203 0.562191244 -0.261405349  7.340125e-01  1.97454579 1.00  2847
eps.phi[1, 2]   -0.293651429 0.515671781 -1.311462250 -2.981577e-01  0.71994222 1.00  5970
eps.phi[2, 2]    0.027692015 0.578575428 -1.077959148  1.222022e-02  1.20598907 1.00  6228
eps.phi[3, 2]    0.326000430 0.627685891 -0.829519331  2.994680e-01  1.63614522 1.00  6261
eps.phi[4, 2]   -0.170983401 0.446504646 -1.041906502 -1.789527e-01  0.71301586 1.00  5435
eps.phi[1, 3]    0.177426961 0.469390594 -0.706124717  1.632365e-01  1.14080751 1.00  5020
eps.phi[2, 3]    0.590180816 0.603536275 -0.493352450  5.464222e-01  1.90318062 1.00  4691
eps.phi[3, 3]   -0.363923436 0.591408257 -1.557167576 -3.459121e-01  0.77612487 1.00  5205
eps.phi[4, 3]    0.059098134 0.455951870 -0.831813331  5.921805e-02  0.95664242 1.00  5707
eps.phi[1, 4]    0.535546279 0.484959869 -0.361456681  5.109298e-01  1.53785840 1.00  4915
eps.phi[2, 4]   -0.322547125 0.484920140 -1.280340742 -3.206188e-01  0.63057785 1.00  4254
eps.phi[3, 4]    0.405628911 0.622047348 -0.748653838  3.765875e-01  1.74015580 1.00  5487
eps.phi[4, 4]    0.100818605 0.479091400 -0.805590363  9.128608e-02  1.06301021 1.00  5663
eps.phi[1, 5]   -0.099915900 0.596341025 -1.287514517 -9.464344e-02  1.07611698 1.00  4047
eps.phi[2, 5]   -0.141152976 0.528111597 -1.186816463 -1.414221e-01  0.90080300 1.00  2823
eps.phi[3, 5]    0.696523227 0.611000618 -0.425333747  6.653241e-01  1.98867113 1.00  3113
eps.phi[4, 5]    0.641162944 0.557846820 -0.422180922  6.213141e-01  1.78471654 1.00  2663
eps.phi[1, 6]    0.134044396 0.591018874 -1.006302895  1.155635e-01  1.32625310 1.00  4825
eps.phi[2, 6]    0.592284372 0.572453122 -0.449247297  5.673083e-01  1.79627789 1.00  2767
eps.phi[3, 6]   -0.821816599 0.561989452 -2.002314077 -7.944047e-01  0.20343676 1.00  1946
eps.phi[4, 6]   -0.772630836 0.540388970 -1.867919783 -7.532918e-01  0.23855893 1.00  2295
eps.phi[1, 7]    0.003324070 0.605226503 -1.181875975  1.067729e-04  1.22421948 1.00  5085
eps.phi[2, 7]   -0.040053769 0.518233759 -1.039206784 -5.091957e-02  1.01508137 1.00  2562
eps.phi[3, 7]    0.725745346 0.609385685 -0.399249771  6.909555e-01  2.01882451 1.00  3766
eps.phi[4, 7]    0.379632039 0.608254215 -0.767519016  3.611889e-01  1.64185448 1.00  4521
eps.phi[1, 8]   -0.259782559 0.567283697 -1.373777793 -2.653759e-01  0.85868283 1.00  6236
eps.phi[2, 8]   -0.246307071 0.442163675 -1.106347434 -2.530906e-01  0.63241386 1.00  4962
eps.phi[3, 8]   -0.959222690 0.438726496 -1.829025380 -9.518816e-01 -0.11754624 1.00  2094
eps.phi[4, 8]   -0.706344719 0.518582024 -1.777156799 -6.847002e-01  0.25606455 1.00  3908
eps.phi[1, 9]    0.332038425 0.628516364 -0.809079778  2.946339e-01  1.67349421 1.00  5448
eps.phi[2, 9]   -0.920044798 0.490996136 -1.907385978 -9.041760e-01  0.01703738 1.00  2821
eps.phi[3, 9]   -0.632620468 0.422371319 -1.481099586 -6.289694e-01  0.17983780 1.00  3048
eps.phi[4, 9]   -1.091528150 0.544749357 -2.241525707 -1.076194e+00 -0.09959617 1.00  2478
eps.phi[1, 10]   0.340112953 0.498377821 -0.599303972  3.258037e-01  1.39700958 1.00  5317
eps.phi[2, 10]   0.023175165 0.583147690 -1.093814568  7.250837e-03  1.21542638 1.00  6407
eps.phi[3, 10]  -0.177863189 0.446045339 -1.048389427 -1.811225e-01  0.71304580 1.00  4298
eps.phi[4, 10]   0.332178828 0.580161357 -0.754732581  3.135724e-01  1.57445215 1.00  6115
eps.phi[1, 11]   0.015721257 0.453530516 -0.858730538  1.634059e-02  0.91904638 1.00  3546
eps.phi[2, 11]   0.375479986 0.628135865 -0.758086610  3.485971e-01  1.72682623 1.00  5113
eps.phi[3, 11]   0.619440550 0.605230144 -0.473068884  5.823731e-01  1.92534733 1.00  3792
