Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.02 
Min n.eff:                        0 


Model summary 
============= 
                        mean          sd          2.5%          50%        97.5% Rhat n.eff
betaVR.R[1]      0.051460157 0.645511827 -1.1302136455  0.027605013  1.407716336 1.00  6645
betaVR.R[2]      0.548743164 0.649763175 -0.6637842092  0.525069598  1.913273099 1.00  4480
betaVR.R[3]      0.017922234 0.597124247 -1.1042270777 -0.009922357  1.248907059 1.00  5655
betaVR.R[4]     -0.715168272 0.373701029 -1.4578383641 -0.715012104  0.005240045 1.00  5042
betaVR.R[5]      0.513318639 0.511973324 -0.4512278740  0.503203286  1.566581790 1.00  6099
betaVR.R[6]      0.028262938 0.390469954 -0.7060664091  0.012558095  0.843151579 1.00  5221
betaVR.phi[1]    0.490393391 0.225263056  0.0430616794  0.485985966  0.935408218 1.00  2219
betaVR.phi[2]   -0.004990684 0.326514125 -0.6634894363  0.003036331  0.626126823 1.00  3239
betaVR.phi[3]   -0.036753647 0.278617996 -0.6047252541 -0.027444357  0.482795990 1.00  2989
betaVR.phi[4]   -0.067933571 0.210748422 -0.4742384692 -0.069072993  0.356010616 1.00  2509
betaVR.phi[5]    0.331022374 0.249877358 -0.1663306447  0.333406240  0.815826209 1.00  3011
betaVR.phi[6]    0.298540408 0.212382353 -0.1307370466  0.301834789  0.712720195 1.00  2114
mean.R[1, 1]     0.032737657 0.047942132  0.0012573344  0.019958449  0.142396099 1.00  7293
mean.R[2, 1]     0.236523994 0.167903048  0.0394207915  0.190569507  0.715973782 1.00  6276
mean.R[3, 1]     0.118465633 0.094578923  0.0139641687  0.095700619  0.368313431 1.00  6733
mean.R[4, 1]     0.103844637 0.079606644  0.0081753213  0.086275210  0.298405816 1.00  3691
mean.R[5, 1]     0.386738956 0.188811497  0.1111833382  0.345572828  0.841761495 1.00  4712
mean.R[6, 1]     0.133809362 0.080604009  0.0397813207  0.115815822  0.351109441 1.00  5380
mean.R[1, 2]     0.022696438 0.017220168  0.0022783033  0.018526020  0.065910830 1.00  3462
mean.R[2, 2]     0.146860765 0.061452258  0.0490848478  0.139474774  0.285408642 1.00  4556
mean.R[3, 2]     0.099168538 0.049802958  0.0263742373  0.091697825  0.216736149 1.00  4690
mean.R[4, 2]     0.131634405 0.051021388  0.0489847062  0.126063508  0.246591238 1.00  4734
mean.R[5, 2]     0.284087118 0.079107416  0.1418002472  0.279710002  0.450146939 1.00  5013
mean.R[6, 2]     0.106573421 0.035588836  0.0484645358  0.102746948  0.184979051 1.00  5162
mean.R[1, 3]     0.022846723 0.017304059  0.0023083730  0.018537388  0.066455805 1.00  3506
mean.R[2, 3]     0.149620875 0.061491274  0.0524838206  0.142548690  0.288942058 1.00  4737
mean.R[3, 3]     0.099837535 0.050202048  0.0261376864  0.091742491  0.216958489 1.00  4667
mean.R[4, 3]     0.129639327 0.051124245  0.0480312474  0.124041114  0.244459154 1.00  4775
mean.R[5, 3]     0.289076338 0.080782046  0.1419654675  0.285875224  0.459319336 1.00  4774
mean.R[6, 3]     0.107310786 0.036095344  0.0484576694  0.103422873  0.187898938 1.00  4768
mean.R[1, 4]     0.024833390 0.020665124  0.0019709579  0.019253047  0.079009042 1.01  4126
mean.R[2, 4]     0.186079696 0.076664163  0.0640095934  0.176304114  0.359360797 1.00  7350
mean.R[3, 4]     0.102794223 0.055072367  0.0239387156  0.093467603  0.233126080 1.00  6212
mean.R[4, 4]     0.100652138 0.048768312  0.0282442273  0.092932885  0.216140681 1.00  4738
mean.R[5, 4]     0.344203248 0.114611475  0.1413505921  0.337572776  0.586712387 1.00  5403
mean.R[6, 4]     0.110770292 0.041894255  0.0436026904  0.105947719  0.205340311 1.00  5670
mean.R[1, 5]     0.033839979 0.042080580  0.0005200517  0.019013090  0.154183414 1.00  6286
mean.R[2, 5]     0.100434351 0.120949641  0.0019479324  0.055152638  0.453784325 1.00  4648
mean.R[3, 5]     0.143524685 0.140610279  0.0045637122  0.097624510  0.526798635 1.00  5233
mean.R[4, 5]     0.393410891 0.148530815  0.1346877026  0.384982871  0.696629261 1.00  8020
mean.R[5, 5]     0.157320822 0.117602606  0.0176033149  0.126968926  0.454470272 1.00  7018
