Information and diagnostics 
=========================== 
Total iter:                       5000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.04 
Min n.eff:                        0 


Model summary 
============= 
                    mean          sd        2.5%          50%       97.5% Rhat n.eff
B.veg[1]     0.905976818 0.592650873 -0.02477543  0.847037113  2.20880577 1.00  1389
B.veg[2]    -0.056145177 0.105385447 -0.25808694 -0.061224642  0.16586729 1.00  1019
B.veg[3]    -0.007416462 0.087136239 -0.17619932 -0.008331961  0.16987125 1.00   472
B.veg[4]     0.613058834 0.406310761  0.01291895  0.547915147  1.54235253 1.01   561
B.veg[5]     0.059987813 0.109673044 -0.13983590  0.053511661  0.29850164 1.01  1014
mean.M       0.041733744 0.004934135  0.03265068  0.041609701  0.05190856 1.00  3375
mean.Pi[1]   0.799125062 0.121552805  0.51177740  0.820361334  0.97277627 1.00 14705
mean.Pi[2]   0.954234140 0.032144528  0.87549431  0.961265162  0.99516425 1.01  2149
mean.Pi[3]   0.960745981 0.026946119  0.89513724  0.966812974  0.99491448 1.00  2074
mean.Pi[4]   0.973052832 0.019102728  0.92462807  0.977299885  0.99681748 1.01  1748
mean.Pi[5]   0.966305793 0.019784849  0.91815599  0.969881292  0.99341497 1.01  2397
mean.Pi[6]   0.978894345 0.014728201  0.94138518  0.982108504  0.99769018 1.00  2057
mean.Pi[7]   0.975415081 0.016931052  0.93340551  0.979185670  0.99704248 1.01  2058
mean.Pi[8]   0.976972168 0.015756463  0.93842420  0.980194047  0.99733586 1.01  2191
mean.Pi[9]   0.973090097 0.018157480  0.92598539  0.977190116  0.99643871 1.00  2379
mean.Pi[10]  0.974623723 0.017623900  0.92917158  0.978670482  0.99677592 1.00  1905
mean.Pi[11]  0.977595851 0.015811802  0.93852084  0.981060006  0.99707922 1.01  1899
mean.Pi[12]  0.980720792 0.013238867  0.94687505  0.983740940  0.99769351 1.01  2365
mean.Pi[13]  0.980159661 0.013793378  0.94487984  0.983337711  0.99750541 1.00  1994
mean.Pi[14]  0.976515066 0.016376436  0.93478463  0.980101363  0.99734329 1.02  1912
mean.Pi[15]  0.979495821 0.014122695  0.94434052  0.982719944  0.99736750 1.00  1966
mean.Pi[16]  0.972706664 0.015603244  0.93539778  0.975419099  0.99524161 1.00  2136
mean.Pi[17]  0.955201354 0.023117338  0.90229083  0.958258560  0.99159148 1.00  1399
mean.Po[1]   0.500652569 0.167508754  0.18447761  0.501918282  0.81897588 1.00 15408
mean.Po[2]   0.499468307 0.167715134  0.18196683  0.499777758  0.82289171 1.00  3523
mean.Po[3]   0.395392995 0.131655158  0.15341136  0.389412841  0.66285011 1.00  3349
mean.Po[4]   0.315648971 0.116497558  0.11682527  0.308862002  0.56020104 1.00  3138
mean.Po[5]   0.294413231 0.105067346  0.11214413  0.287382946  0.51482799 1.00  3351
mean.Po[6]   0.251953982 0.095141244  0.09074486  0.244402948  0.45910681 1.00  3181
mean.Po[7]   0.173323530 0.077233420  0.05259109  0.163506121  0.34696902 1.00  3300
mean.Po[8]   0.201624385 0.080773033  0.07219498  0.192786802  0.38447389 1.00  3116
mean.Po[9]   0.165871830 0.067703417  0.06057810  0.157949464  0.32015245 1.00  3237
mean.Po[10]  0.195509197 0.065159883  0.08613988  0.190179669  0.34090730 1.01  3309
mean.Po[11]  0.158662296 0.057603948  0.06237185  0.152197013  0.28367033 1.00  3211
mean.Po[12]  0.170395176 0.057874253  0.07167150  0.165228280  0.29837407 1.00  3521
mean.Po[13]  0.084769272 0.040204707  0.02382081  0.078779646  0.17754251 1.00  2884
mean.Po[14]  0.064543295 0.030737837  0.01743748  0.060390872  0.13444760 1.01  3066
mean.Po[15]  0.062186163 0.029883207  0.01771847  0.057481679  0.13191413 1.00  2861
mean.Po[16]  0.054018736 0.026823277  0.01523922  0.049568956  0.11718593 1.01  2835
mean.Po[17]  0.066028597 0.029277731  0.02161517  0.061908886  0.13379355 1.01  2789
mean.R       0.232360553 0.036767211  0.16503307  0.230671255  0.30858782 1.00  3297
mean.rO[1]   0.500693773 0.166303973  0.18044559  0.500746889  0.81351491 1.00 15256
mean.rO[2]   0.497656967 0.164322390  0.18671009  0.496629927  0.81216139 1.00  3548
mean.rO[3]   0.715397887 0.118141270  0.46193883  0.726663463  0.90975482 1.00  3135
mean.rO[4]   0.734364335 0.109771036  0.50428483  0.743727668  0.92002505 1.00  3290
mean.rO[5]   0.749460139 0.105307540  0.52346527  0.759544770  0.92495097 1.00  3317
