Information and diagnostics 
=========================== 
Total iter:                       5000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.02 
Min n.eff:                        0 


Model summary 
============= 
                    mean          sd          2.5%          50%       97.5% Rhat n.eff
B.veg[1]    -0.236159008 0.475755788 -1.1385623615 -0.242001672  0.71504143 1.00  1737
B.veg[2]    -0.081738803 0.399723529 -0.8894602129 -0.079551681  0.70624876 1.01   975
B.veg[3]     0.080550365 0.404630802 -0.7022097462  0.072030935  0.89599023 1.00   914
B.veg[4]    -0.075109464 0.397356970 -0.8180732026 -0.086892950  0.73634731 1.00   895
B.veg[5]    -0.311270677 0.321785438 -0.9423628743 -0.314973621  0.33118599 1.02   509
mean.M[1]    0.007664735 0.006721037  0.0001941568  0.005824893  0.02504737 1.00  1369
mean.M[2]    0.104122133 0.016377971  0.0740909261  0.103409393  0.13885913 1.00  3302
mean.M[3]    0.028830563 0.006931920  0.0167460872  0.028415521  0.04392978 1.00  3063
mean.M[4]    0.022484436 0.008425781  0.0093367344  0.021488158  0.04185948 1.00  2729
mean.M[5]    0.044199573 0.011645575  0.0238389401  0.043392669  0.06886280 1.00  3023
mean.Pi[1]   0.798850411 0.120010757  0.5191557458  0.818425824  0.97130310 1.00 15000
mean.Pi[2]   0.954805393 0.031176043  0.8783015041  0.961513846  0.99436391 1.00  2181
mean.Pi[3]   0.963344479 0.024938658  0.8995563323  0.969003205  0.99483096 1.01  2182
mean.Pi[4]   0.973432363 0.018428388  0.9268474895  0.977657110  0.99654742 1.01  2147
mean.Pi[5]   0.965656803 0.019096048  0.9204077585  0.968973520  0.99279254 1.00  2677
mean.Pi[6]   0.979388285 0.014088525  0.9450037490  0.982327803  0.99742585 1.01  2238
mean.Pi[7]   0.976028837 0.016488166  0.9349219507  0.979699623  0.99676018 1.00  2110
mean.Pi[8]   0.976972354 0.016858201  0.9358824153  0.980839035  0.99712803 1.01  1800
mean.Pi[9]   0.972609738 0.018978228  0.9245890961  0.977000213  0.99647790 1.01  1926
mean.Pi[10]  0.974804431 0.017711034  0.9295542613  0.978641003  0.99700765 1.01  2035
mean.Pi[11]  0.978594885 0.014438578  0.9427301349  0.981354869  0.99731204 1.00  2282
mean.Pi[12]  0.980470150 0.013790850  0.9456496859  0.983435255  0.99776214 1.01  2003
mean.Pi[13]  0.981186536 0.013130684  0.9488640228  0.984164191  0.99767564 1.00  2149
mean.Pi[14]  0.976670578 0.015836779  0.9372489555  0.979951099  0.99710869 1.02  1951
mean.Pi[15]  0.979785315 0.013523040  0.9462472973  0.982472056  0.99758897 1.01  2219
mean.Pi[16]  0.968883524 0.017275343  0.9274416756  0.971683951  0.99364559 1.01  1732
mean.Pi[17]  0.961634250 0.021552674  0.9100429419  0.964911491  0.99328407 1.00  1444
mean.Po[1]   0.500906068 0.167607630  0.1803893854  0.501196186  0.81534995 1.00 15000
mean.Po[2]   0.498122233 0.165533772  0.1884576794  0.496015556  0.81886991 1.00  3364
mean.Po[3]   0.389737474 0.127858506  0.1582073541  0.383607228  0.65451582 1.00  3555
