Information and diagnostics 
=========================== 
Total iter:                       5000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.04 
Min n.eff:                        0 


Model summary 
============= 
                   mean          sd        2.5%         50%       97.5% Rhat n.eff
B.veg[1]     0.33747943 0.358599519 -0.35217197  0.33205391  1.05441954 1.00  2910
B.veg[2]     0.65749043 0.324433783  0.02411189  0.65540372  1.30618797 1.00  2356
B.veg[3]     0.01525979 0.249028209 -0.46529096  0.01434001  0.51566513 1.00  2393
B.veg[4]     0.15213171 0.255508191 -0.33537716  0.15054852  0.66214405 1.00  2291
B.veg[5]     0.13654318 0.180091721 -0.20788847  0.13716547  0.51144315 1.00  1275
mean.M       0.09104099 0.008030681  0.07583359  0.09093485  0.10738141 1.00  1002
mean.Pi[1]   0.79935792 0.120219062  0.51944514  0.81876505  0.97149300 1.00 15000
mean.Pi[2]   0.74201549 0.080451659  0.57306171  0.74902811  0.88109537 1.00  3282
mean.Pi[3]   0.59261846 0.076734450  0.43884528  0.59167516  0.73771346 1.00  3088
mean.Pi[4]   0.60887572 0.068624831  0.47342167  0.60893011  0.73864057 1.00  2768
mean.Pi[5]   0.71578391 0.062671062  0.58636406  0.71798246  0.83184537 1.01  2514
mean.Pi[6]   0.52553874 0.064316464  0.39962727  0.52694052  0.64906177 1.00  2905
mean.Pi[7]   0.50581813 0.062619407  0.38311216  0.50539267  0.62916672 1.00  2590
mean.Pi[8]   0.62306928 0.060110477  0.50197962  0.62408936  0.73891483 1.00  2387
mean.Pi[9]   0.73381160 0.051073948  0.62894209  0.73465876  0.82778864 1.01  2668
mean.Pi[10]  0.62985259 0.054460245  0.52275684  0.63159243  0.73222161 1.00  2760
mean.Pi[11]  0.67112951 0.051118788  0.56955886  0.67173735  0.76870272 1.00  2706
mean.Pi[12]  0.70997784 0.047483839  0.61409386  0.71181852  0.80044721 1.00  2665
mean.Pi[13]  0.53136479 0.052353256  0.42979749  0.53116694  0.63278239 1.00  3148
mean.Pi[14]  0.55653487 0.053922432  0.45000959  0.55678365  0.65948640 1.00  2935
mean.Pi[15]  0.59892322 0.051766143  0.49570993  0.59952347  0.70000317 1.00  2740
mean.Pi[16]  0.68555393 0.053604800  0.57788811  0.68590781  0.78731818 1.00  2107
mean.Pi[17]  0.59958682 0.055860324  0.48834500  0.60027644  0.70783674 1.00  2238
mean.Pi[18]  0.53060411 0.057447504  0.41912298  0.53178370  0.64284566 1.00  1785
mean.Pi[19]  0.36913016 0.048695488  0.27991669  0.36829903  0.46874928 1.00  2442
mean.Pi[20]  0.52659703 0.055767780  0.42045052  0.52488342  0.64131340 1.00  1778
mean.Po[1]   0.49843746 0.166002943  0.18444023  0.49829073  0.81439113 1.00 14791
mean.Po[2]   0.48266815 0.166094827  0.17382414  0.48229872  0.80922017 1.00  3223
mean.Po[3]   0.42743454 0.147514996  0.16747063  0.41918684  0.73394655 1.00  2672
mean.Po[4]   0.24214899 0.105627003  0.07344981  0.22937934  0.47969781 1.00  2818
mean.Po[5]   0.22472092 0.090514424  0.07946979  0.21307156  0.43227551 1.00  2648
mean.Po[6]   0.16518412 0.068593329  0.05526404  0.15759214  0.31968176 1.00  3015
mean.Po[7]   0.12178716 0.050872739  0.04114207  0.11646264  0.23806922 1.00  2953
mean.Po[8]   0.13496637 0.047201827  0.05675228  0.13082258  0.23816755 1.00  3160
mean.Po[9]   0.10553376 0.040726986  0.04109028  0.10093206  0.19686985 1.00  3235
mean.Po[10]  0.09697892 0.037866104  0.03593694  0.09244402  0.17974913 1.00  3028
mean.Po[11]  0.14446024 0.042776120  0.07174786  0.14105536  0.23874950 1.00  3189
mean.Po[12]  0.10052402 0.034296430  0.04439963  0.09711170  0.17893854 1.00  2916
mean.Po[13]  0.10633013 0.031631384  0.05240940  0.10366737  0.17528281 1.00  3437
mean.Po[14]  0.13979946 0.034043707  0.07970228  0.13696406  0.21336865 1.00  3223
mean.Po[15]  0.09487850 0.027790433  0.04865192  0.09250720  0.15795641 1.00  2834
mean.Po[16]  0.08669190 0.024744731  0.04457324  0.08441306  0.14245169 1.00  3181
mean.Po[17]  0.08114101 0.023082921  0.04207360  0.07908817  0.13142189 1.01  3349
mean.Po[18]  0.08485933 0.023719442  0.04504665  0.08297054  0.13636713 1.00  3015
mean.Po[19]  0.03419490 0.015194082  0.01080798  0.03211341  0.07027681 1.00  2766
mean.Po[20]  0.04951559 0.018713209  0.02000923  0.04687157  0.09301104 1.01  2949
mean.R       0.05113999 0.019242435  0.02076960  0.04865209  0.09546050 1.00  2864
mean.rO[1]   0.50047314 0.167523507  0.18138887  0.50130300  0.81473654 1.00 15226
