Information and diagnostics 
=========================== 
Total iter:                       5000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.07 
Min n.eff:                        0 


Model summary 
============= 
                   mean          sd        2.5%         50%       97.5% Rhat n.eff
B.win[1]     0.02143401 0.492240281 -0.99395934  0.01894037  0.97423657 1.00  1929
B.win[2]    -0.06683913 0.453709483 -0.98754533 -0.05480009  0.77513188 1.00   985
B.win[3]    -0.48942962 0.386552316 -1.28756408 -0.47546653  0.24412457 1.00   789
B.win[4]    -0.21893850 0.348738988 -0.93941152 -0.20704999  0.44480282 1.01   471
B.win[5]    -0.36483594 0.349057557 -1.06817424 -0.35557892  0.30580187 1.01   454
mean.M       0.04177318 0.005001254  0.03269925  0.04150695  0.05222822 1.00  2868
mean.Pi[1]   0.79934842 0.122329560  0.51384485  0.82038175  0.97223745 1.00 15000
mean.Pi[2]   0.95515322 0.030314999  0.88165286  0.96124201  0.99446649 1.01  2374
mean.Pi[3]   0.96219467 0.025134931  0.90150643  0.96663032  0.99527462 1.01  2210
mean.Pi[4]   0.97356738 0.018258290  0.92725507  0.97744467  0.99666260 1.00  2250
mean.Pi[5]   0.96613251 0.019482222  0.91856596  0.96950314  0.99322520 1.00  2363
mean.Pi[6]   0.97850366 0.014672209  0.94224740  0.98156861  0.99728066 1.00  2263
mean.Pi[7]   0.97582332 0.016669099  0.93494701  0.97932339  0.99699325 1.00  2156
mean.Pi[8]   0.97696513 0.015966148  0.93590534  0.98059887  0.99710469 1.02  2079
mean.Pi[9]   0.97201464 0.019376695  0.92159794  0.97590269  0.99654077 1.01  2070
mean.Pi[10]  0.97494455 0.016949936  0.93307571  0.97851382  0.99716370 1.00  2269
mean.Pi[11]  0.97851704 0.014744379  0.94238773  0.98165639  0.99736142 1.00  2083
mean.Pi[12]  0.98090920 0.013014727  0.94830059  0.98366979  0.99761002 1.00  2291
mean.Pi[13]  0.98048505 0.013525657  0.94768686  0.98339192  0.99749172 1.00  2183
mean.Pi[14]  0.97615361 0.016823810  0.93352072  0.97982113  0.99687974 1.01  1659
