Information and diagnostics 
=========================== 
Total iter:                       5000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.02 
Min n.eff:                        1454 


Model summary 
============= 
                  mean          sd       2.5%        50%      97.5% Rhat n.eff
mean.M      0.04145022 0.004960062 0.03227972 0.04133566 0.05168703 1.00  2890
mean.Pi[1]  0.80068800 0.119469646 0.52012175 0.82068151 0.97102838 1.00 14603
mean.Pi[2]  0.95460907 0.030852863 0.88055383 0.96117149 0.99416871 1.00  2333
mean.Pi[3]  0.96092881 0.025942875 0.89784098 0.96652924 0.99436357 1.00  2082
mean.Pi[4]  0.97271073 0.018890628 0.92786083 0.97686417 0.99664407 1.01  2034
mean.Pi[5]  0.96608973 0.019438331 0.91902375 0.96945195 0.99360355 1.00  2453
mean.Pi[6]  0.97874334 0.014837357 0.94147946 0.98217563 0.99754160 1.00  2205
mean.Pi[7]  0.97611404 0.016719582 0.93323546 0.98023260 0.99688027 1.00  2167
mean.Pi[8]  0.97725475 0.015594632 0.93903017 0.98086263 0.99737666 1.00  2300
mean.Pi[9]  0.97226607 0.019037287 0.92486646 0.97645501 0.99653616 1.00  1960
mean.Pi[10] 0.97503834 0.017324911 0.93043501 0.97876849 0.99697468 1.00  1913
mean.Pi[11] 0.97781183 0.015766186 0.93597169 0.98140534 0.99709186 1.00  1882
mean.Pi[12] 0.98070988 0.013295897 0.94831767 0.98362899 0.99749567 1.01  2187
mean.Pi[13] 0.98006469 0.013626215 0.94586213 0.98274073 0.99755065 1.00  2091
mean.Pi[14] 0.97627312 0.016392947 0.93482609 0.97968088 0.99704728 1.00  1864
mean.Pi[15] 0.97953764 0.014189088 0.94417925 0.98288875 0.99752088 1.00  2179
mean.Pi[16] 0.97140665 0.016637209 0.93315831 0.97439727 0.99484041 1.02  1803
mean.Pi[17] 0.96313836 0.020803266 0.91424751 0.96635816 0.99359615 1.00  1454
mean.Po[1]  0.49815227 0.166524221 0.18337164 0.49680569 0.81174665 1.00 15744
mean.Po[2]  0.49784909 0.168291046 0.18491054 0.49710717 0.81466866 1.00  3986
mean.Po[3]  0.39113589 0.135552138 0.14595489 0.38660898 0.66353892 1.00  3261
mean.Po[4]  0.31666294 0.113070132 0.12449792 0.30813876 0.55453797 1.00  3187
mean.Po[5]  0.29422966 0.107680518 0.10954513 0.28629992 0.52087863 1.00  3403
mean.Po[6]  0.25124235 0.093927295 0.09496387 0.24094736 0.45684441 1.00  3188
mean.Po[7]  0.17452257 0.077300118 0.05386155 0.16385008 0.34966030 1.00  3018
mean.Po[8]  0.20221035 0.080736981 0.07298850 0.19392698 0.38206888 1.00  3015
mean.Po[9]  0.16815688 0.066838645 0.06027270 0.16055269 0.32173552 1.00  3060
mean.Po[10] 0.19556122 0.065636629 0.08565435 0.18853847 0.34069004 1.00  3272
mean.Po[11] 0.15718525 0.058026021 0.06076935 0.15065329 0.28435842 1.00  3037
mean.Po[12] 0.17055544 0.056951092 0.07530419 0.16517390 0.29216236 1.00  3207
mean.Po[13] 0.08578705 0.040635250 0.02444288 0.07872869 0.18066180 1.00  2745
mean.Po[14] 0.06562322 0.031604003 0.01817708 0.06025711 0.13958316 1.00  2653
mean.Po[15] 0.06103683 0.030072837 0.01689751 0.05576029 0.13084893 1.00  2535
mean.Po[16] 0.05487342 0.026572674 0.01482857 0.05060400 0.11714013 1.00  2850
mean.Po[17] 0.07075612 0.030319964 0.02395064 0.06621058 0.14087940 1.00  2866
mean.R      0.22856104 0.036516574 0.16011781 0.22771380 0.30368871 1.00  2930
mean.rO[1]  0.50081373 0.166063175 0.18517942 0.49869313 0.81727938 1.00 15111
mean.rO[2]  0.49778844 0.163755799 0.18315321 0.49745414 0.80763021 1.00  3685
mean.rO[3]  0.71515753 0.117027720 0.45986254 0.72533176 0.91256757 1.00  3313
mean.rO[4]  0.73157893 0.109673798 0.49648710 0.74135177 0.91697647 1.00  3309
mean.rO[5]  0.74848492 0.105703867 0.51484518 0.75904813 0.91996527 1.00  3183
mean.rO[6]  0.63704767 0.138420465 0.35003944 0.64740813 0.87714821 1.00  3373
mean.rO[7]  0.84014726 0.072287234 0.67492599 0.84940923 0.95167632 1.00  2948
mean.rO[8]  0.63522978 0.140702129 0.34638601 0.64398154 0.87958975 1.00  3493
mean.rO[9]  0.78968737 0.091079711 0.58922989 0.79955153 0.93467217 1.00  3077
mean.rO[10] 0.80291159 0.085204382 0.61311810 0.81428580 0.93908866 1.00  3206
mean.rO[11] 0.66105067 0.130583197 0.38857530 0.66770328 0.89106881 1.00  3293
mean.rO[12] 0.63843297 0.138946672 0.34358851 0.64776293 0.87750863 1.00  3330
mean.rO[13] 0.75293090 0.103066932 0.52675710 0.76257363 0.92517024 1.00  3345
mean.rO[14] 0.50147228 0.164527283 0.18259766 0.50438376 0.81221074 1.00  3700
mean.rO[15] 0.77754160 0.096277746 0.55987829 0.78851639 0.93337411 1.00  3034
mean.rO[16] 0.59930080 0.147563176 0.29718163 0.60442158 0.86725976 1.00  3255
mean.rO[17] 0.23915729 0.111013130 0.07000258 0.22495185 0.49393049 1.00  2529
mean.rR[1]  0.49851452 0.168002270 0.18223486 0.49757613 0.81699435 1.00 14970
mean.rR[2]  0.55403940 0.157618083 0.24099956 0.55686644 0.84258468 1.00  3263
mean.rR[3]  0.49674187 0.164629985 0.18964850 0.49549630 0.80688843 1.00  3628
