Information and diagnostics 
=========================== 
Total iter:                       5000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.06 
Min n.eff:                        0 


Model summary 
============= 
                    mean          sd         2.5%          50%       97.5% Rhat n.eff
B.veg[1]    -0.236267229 0.487403212 -1.168503587 -0.240735213  0.74496317 1.00  1630
B.veg[2]    -0.124532907 0.403313918 -0.907514087 -0.132000042  0.66390600 1.00  1124
B.veg[3]     0.122475368 0.428930335 -0.695778763  0.113915717  0.99205949 1.00   819
B.veg[4]    -0.018921627 0.423602629 -0.825594920 -0.031478289  0.87078155 1.01   918
B.veg[5]    -0.331580850 0.344125950 -1.017968535 -0.328838127  0.35977325 1.01   447
mean.M[1]    0.007854240 0.006814117  0.000310114  0.006137445  0.02552096 1.00  1391
mean.M[2]    0.105177020 0.016164049  0.076155694  0.104244470  0.13898930 1.00  3175
mean.M[3]    0.028711188 0.006928321  0.016653707  0.028125687  0.04381092 1.00  3205
mean.M[4]    0.022083698 0.008232669  0.008939201  0.021188268  0.04057965 1.00  2989
mean.M[5]    0.044679132 0.011895912  0.024530273  0.043643631  0.07062394 1.00  2888
mean.Pi[1]   0.800218250 0.120799866  0.515819200  0.820189433  0.97159386 1.00 15731
mean.Pi[2]   0.954109979 0.031109381  0.878570660  0.960829458  0.99409948 1.01  2295
mean.Pi[3]   0.963501999 0.025232424  0.901260280  0.969223148  0.99579677 1.01  2104
mean.Pi[4]   0.973949138 0.018709443  0.926542254  0.978329168  0.99656473 1.01  1991
mean.Pi[5]   0.965691701 0.019388567  0.919044619  0.969317016  0.99295644 1.00  2485
mean.Pi[6]   0.979069648 0.014715614  0.942029250  0.982394941  0.99732081 1.00  2297
mean.Pi[7]   0.975813257 0.016718702  0.932917711  0.979670738  0.99732808 1.01  2298
mean.Pi[8]   0.977294766 0.015756789  0.937327629  0.980615785  0.99715179 1.00  2071
mean.Pi[9]   0.971747200 0.019664225  0.923506564  0.976245275  0.99651541 1.01  1991
mean.Pi[10]  0.975221770 0.016799098  0.934280467  0.978677283  0.99701712 1.00  2155
mean.Pi[11]  0.977992004 0.015264729  0.938682859  0.981328089  0.99742086 1.00  2081
mean.Pi[12]  0.980507186 0.013262274  0.946686481  0.983104397  0.99757566 1.00  2184
mean.Pi[13]  0.980797274 0.013447939  0.947288528  0.983972940  0.99759901 1.01  2111
mean.Pi[14]  0.976929277 0.016188123  0.936632080  0.980883471  0.99729789 1.00  1893
mean.Pi[15]  0.979864097 0.013593781  0.945601521  0.982849646  0.99749368 1.00  2347
mean.Pi[16]  0.969948861 0.016481372  0.930994413  0.972677662  0.99362309 1.00  1967
mean.Pi[17]  0.960626391 0.021696404  0.910992203  0.963447167  0.99290255 1.02  1337
mean.Po[1]   0.500396491 0.167088343  0.186332602  0.500723955  0.82030568 1.00 14539
mean.Po[2]   0.500038251 0.167138280  0.181404593  0.500497587  0.81657154 1.00  3530
mean.Po[3]   0.389170120 0.133314720  0.153519837  0.384072944  0.66196668 1.00  3434
mean.Po[4]   0.314871538 0.112855778  0.116540016  0.306811974  0.55959969 1.00  3228
mean.Po[5]   0.294406544 0.107004527  0.108823290  0.286922247  0.52135870 1.00  3317
mean.Po[6]   0.251049546 0.093510216  0.093258808  0.242555040  0.45836891 1.00  3196
mean.Po[7]   0.176627261 0.079105512  0.052560428  0.167263049  0.35633815 1.00  2919
mean.Po[8]   0.200782704 0.079784569  0.070360639  0.192932049  0.38192903 1.00  3184
mean.Po[9]   0.165697376 0.067440078  0.055845163  0.159921669  0.31316945 1.00  3122
mean.Po[10]  0.194763779 0.065275257  0.081729944  0.188997190  0.33675640 1.00  3313
mean.Po[11]  0.159471273 0.057813792  0.063931655  0.154364144  0.28941821 1.00  3131
mean.Po[12]  0.171433337 0.057906471  0.072518585  0.166092527  0.29728463 1.00  3302
mean.Po[13]  0.085334229 0.041501776  0.023837617  0.078681653  0.18236905 1.00  2705
mean.Po[14]  0.063824380 0.030921413  0.018262624  0.059391038  0.13538771 1.01  2862
mean.Po[15]  0.061949417 0.029942965  0.016792059  0.057575820  0.12991731 1.00  2738
mean.Po[16]  0.055129867 0.026675874  0.015666521  0.050648151  0.11776807 1.00  2847
mean.Po[17]  0.065347120 0.027937200  0.022057962  0.061737488  0.13069230 1.00  2979
mean.R[1]    0.090826845 0.081622364  0.002983445  0.067477654  0.30588020 1.00  1595
mean.R[2]    0.297318195 0.099547213  0.126056320  0.289998357  0.51023682 1.00  3163
mean.R[3]    0.297069665 0.086243995  0.146755733  0.291734551  0.47925659 1.00  3360
mean.R[4]    0.282406613 0.070745384  0.154983848  0.279851398  0.43155712 1.00  3164
mean.R[5]    0.123479700 0.038183833  0.059581629  0.119872229  0.20816307 1.00  3052
mean.rO[1]   0.499803390 0.167616955  0.180991576  0.500766569  0.82001314 1.00 15000
mean.rO[2]   0.499826238 0.167752089  0.183061904  0.500266357  0.81207270 1.00  3565
mean.rO[3]   0.714837397 0.116268573  0.461184746  0.722190037  0.91048037 1.00  3356
mean.rO[4]   0.731259595 0.111572427  0.491250311  0.742084233  0.91470769 1.00  2984
mean.rO[5]   0.750383349 0.103492342  0.524165451  0.758366441  0.92336481 1.00  3302
mean.rO[6]   0.637009841 0.140561318  0.345314204  0.645256592  0.88442431 1.00  3382
mean.rO[7]   0.840407579 0.071765231  0.672319610  0.849046872  0.95154148 1.00  3056
mean.rO[8]   0.632146546 0.140538795  0.341546674  0.639222990  0.88429774 1.00  3314
mean.rO[9]   0.789368019 0.091224240  0.580559583  0.800258471  0.93482395 1.00  3179
mean.rO[10]  0.801528214 0.087819382  0.607936811  0.812914004  0.93638607 1.00  3097
mean.rO[11]  0.668330236 0.130950860  0.384609921  0.682936721  0.88594104 1.00  3463
mean.rO[12]  0.637362277 0.137736698  0.363648195  0.643417393  0.88992195 1.00  3360
mean.rO[13]  0.750373376 0.103395355  0.518265404  0.760490966  0.91875397 1.00  3164
mean.rO[14]  0.504057257 0.166190507  0.177678809  0.506936796  0.81466836 1.00  3323
mean.rO[15]  0.779269107 0.095259728  0.572952998  0.792274715  0.93199075 1.00  3078
mean.rO[16]  0.597162334 0.147869390  0.299237826  0.603039725  0.86361706 1.00  3560
mean.rO[17]  0.348935454 0.159695769  0.092787814  0.331490287  0.68588747 1.00  1652
mean.rR[1]   0.499386756 0.167964366  0.182823494  0.499737517  0.81426557 1.00 14910
mean.rR[2]   0.555776269 0.155956320  0.246141574  0.558285641  0.84538379 1.00  3521
mean.rR[3]   0.503820333 0.169722613  0.182105112  0.509994191  0.81647831 1.00  3355
mean.rR[4]   0.559312943 0.159472101  0.243266659  0.562931374  0.84199794 1.00  3786
mean.rR[5]   0.554244663 0.155382590  0.251654379  0.557553788  0.83511700 1.00  3485
mean.rR[6]   0.637868951 0.137501720  0.347526036  0.645864290  0.87414605 1.00  3603
mean.rR[7]   0.556490587 0.158059377  0.242409253  0.559425721  0.84700649 1.00  3548
mean.rR[8]   0.557748398 0.156285770  0.243828207  0.563559093  0.83773629 1.00  3461
mean.rR[9]   0.713756987 0.115069076  0.464012332  0.723979329  0.90459802 1.00  3254
mean.rR[10]  0.692211556 0.125492776  0.423174914  0.706332055  0.89991405 1.00  3204
mean.rR[11]  0.638218196 0.140731749  0.344666214  0.647442165  0.88582858 1.00  3366
mean.rR[12]  0.558807449 0.158181819  0.240376782  0.564168447  0.84528791 1.00  3591
mean.rR[13]  0.498469994 0.167884345  0.184857033  0.498012298  0.81920377 1.00  3598
mean.rR[14]  0.667607853 0.130944279  0.385901706  0.682082301  0.88916564 1.00  3443
mean.rR[15]  0.599534246 0.147015701  0.295954264  0.608034075  0.86020201 1.01  3401
