Information and diagnostics 
=========================== 
Total iter:                       5000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.07 
Min n.eff:                        0 


Model summary 
============= 
                    mean          sd         2.5%          50%        97.5% Rhat n.eff
B.veg[1]     0.920058421 0.624121282 -0.260994771  0.902818239  2.152719227 1.00  2278
B.veg[2]     0.864964562 0.551353931 -0.190718861  0.851952040  1.994283350 1.00  1702
B.veg[3]     0.663832697 0.474491311 -0.236314420  0.657962591  1.654143927 1.01   843
B.veg[4]     1.113071580 0.488601013  0.227797954  1.100139676  2.117146059 1.01   852
B.veg[5]     1.616166569 0.475887418  0.693943512  1.615149876  2.564097432 1.02   860
mean.M       0.112666256 0.008036756  0.097598627  0.112577439  0.128498349 1.00  1557
mean.Pi[1]   0.798871504 0.121358489  0.513037564  0.820511684  0.972866639 1.00 15000
mean.Pi[2]   0.696628399 0.090414749  0.506546786  0.702919121  0.856215119 1.00  2800
mean.Pi[3]   0.670576851 0.087788604  0.496068345  0.671764316  0.833810803 1.00  2377
mean.Pi[4]   0.499228681 0.081857428  0.339180193  0.498469911  0.661567765 1.00  2597
mean.Pi[5]   0.661183145 0.075001106  0.508172965  0.663468601  0.803407908 1.00  2165
mean.Pi[6]   0.693369101 0.066952011  0.558615263  0.694761502  0.823320102 1.00  2309
mean.Pi[7]   0.599637805 0.067929256  0.466566489  0.599969240  0.730899976 1.00  2641
mean.Pi[8]   0.710688415 0.060198026  0.587207039  0.712733249  0.823677038 1.00  2297
mean.Pi[9]   0.561166202 0.061916281  0.439608329  0.561463915  0.681891715 1.01  2699
mean.Pi[10]  0.596973274 0.070602605  0.460998550  0.596469181  0.732981514 1.00  2402
mean.Pi[11]  0.665290514 0.064460267  0.536461269  0.666243066  0.788468731 1.00  2401
mean.Pi[12]  0.658264671 0.059134886  0.537793210  0.659166715  0.771312919 1.00  2654
mean.Pi[13]  0.638200752 0.056580164  0.524170349  0.639307312  0.745731904 1.00  2600
mean.Pi[14]  0.681971178 0.055290051  0.573531768  0.682047604  0.786763410 1.00  2538
mean.Pi[15]  0.519350203 0.056938268  0.410557616  0.519519242  0.629455975 1.00  2561
mean.Pi[16]  0.695433016 0.056233166  0.579839230  0.697782151  0.800559017 1.00  2106
