Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.04 
Min n.eff:                        0 


Model summary 
============= 
                       mean         sd          2.5%          50%       97.5% Rhat n.eff
betaD.R[1]      -0.65048827 0.51762800 -1.6826321161 -0.646969027  0.33377274 1.01   946
betaD.R[2]      -0.13826152 0.54621501 -1.2397897283 -0.127421411  0.91034354 1.00  1849
betaD.R[3]       0.36254033 0.64644175 -0.9182333151  0.365236159  1.61140896 1.00  1898
betaD.R[4]       0.66585177 0.51562698 -0.3359955198  0.677881916  1.66716487 1.00  3295
betaD.R[5]       0.82763656 0.58498615 -0.3388203187  0.825945087  1.95821208 1.01  3850
betaD.R[6]       0.25870834 0.66737605 -1.0809361282  0.263727327  1.54819977 1.00  3586
betaD.phi[1]    -1.12078350 0.36246965 -1.8054319669 -1.133879080 -0.35403197 1.02   400
betaD.phi[2]     0.26570183 0.40620931 -0.5283629798  0.259671826  1.04835472 1.01   645
betaD.phi[3]     0.33937719 0.43642148 -0.5018345450  0.335773490  1.19642832 1.00   863
betaD.phi[4]    -0.07712313 0.33249667 -0.7185873017 -0.073959255  0.56577440 1.00  1103
betaD.phi[5]    -0.42173795 0.42709823 -1.2856102346 -0.423101320  0.41016406 1.01  1602
betaD.phi[6]    -0.10842962 0.48397378 -1.0799614496 -0.097642463  0.82011041 1.00  1160
betaV.R[1]       1.06343699 0.49475680  0.1425264223  1.042980348  2.09766809 1.01   938
betaV.R[2]       0.24346230 0.56792691 -0.8471060238  0.239062054  1.38051826 1.00  1605
betaV.R[3]      -0.22984701 0.68910080 -1.5645983638 -0.230023659  1.14372046 1.00  1675
betaV.R[4]      -0.44298823 0.60629189 -1.6793341904 -0.427878000  0.73695519 1.00  3235
betaV.R[5]      -0.99955160 0.69264441 -2.3629614362 -0.996650654  0.33114142 1.00  3222
betaV.R[6]      -0.98216153 0.73892571 -2.4477794942 -0.981209802  0.43672968 1.00  3815
betaV.phi[1]     0.99977122 0.38363210  0.1947280486  1.018826070  1.70938514 1.01   370
betaV.phi[2]    -0.05550500 0.42132356 -0.8809928850 -0.055878791  0.76793756 1.01   611
betaV.phi[3]    -0.61782123 0.44308091 -1.5065935350 -0.608616805  0.23566323 1.00   836
betaV.phi[4]     0.33730575 0.36088695 -0.3851849772  0.332694401  1.06374876 1.01  1228
betaV.phi[5]    -0.04602444 0.46239171 -0.9718770896 -0.047093657  0.85703790 1.01  1732
betaV.phi[6]    -0.72435971 0.55500895 -1.7800161757 -0.728141541  0.38739349 1.00  1055
betaX.R         -0.56348832 0.20180335 -0.9645773390 -0.563660584 -0.17108764 1.00  3345
betaX.phi        0.21204384 0.08213022  0.0524684020  0.212020995  0.37531740 1.00  3634
mean.R[1, 1]     0.09052515 0.08952474  0.0046209055  0.064006359  0.34225027 1.02  3085
mean.R[2, 1]     0.18231238 0.13173967  0.0201724137  0.151510526  0.52241451 1.00  4726
mean.R[3, 1]     0.26105651 0.18552389  0.0294218897  0.215438233  0.74186167 1.00  3335
mean.R[4, 1]     0.21078543 0.15077278  0.0232428889  0.175415388  0.59830649 1.00  4383
mean.R[5, 1]     0.40695539 0.22413770  0.0617875983  0.377863516  0.88715001 1.00  2774
mean.R[6, 1]     0.13330636 0.15407135  0.0053238988  0.079228863  0.61483983 1.01  2518
mean.R[1, 2]     0.24069625 0.10407060  0.0813050869  0.225470669  0.48427402 1.00  5497
mean.R[2, 2]     0.28978823 0.16999378  0.0500293456  0.258962851  0.68324027 1.00  3968
mean.R[3, 2]     0.32263306 0.18503569  0.0490581698  0.295665408  0.73558141 1.00  6050
mean.R[4, 2]     0.28560102 0.21925167  0.0138283876  0.233337174  0.79334207 1.00  4959
mean.R[5, 2]     0.32530334 0.23069736  0.0174361993  0.282923611  0.82587222 1.00  5771
mean.R[6, 2]     0.06400690 0.07355567  0.0012072150  0.038027128  0.27158772 1.00  9550
mean.R[1, 3]     0.10994810 0.06898996  0.0176339210  0.095763407  0.28035952 1.01  3149
mean.R[2, 3]     0.12571735 0.09908995  0.0128563096  0.099156937  0.38224936 1.00  7624
mean.R[3, 3]     0.15316739 0.12772457  0.0104229673  0.117066307  0.48546523 1.00  8308
mean.R[4, 3]     0.14905230 0.16032246  0.0027617625  0.091509240  0.59637277 1.00  6169
mean.R[5, 3]     0.16518089 0.17935483  0.0024727525  0.096987332  0.66450625 1.00  6186
mean.R[6, 3]     0.02178040 0.03586297  0.0001298188  0.008546283  0.12655827 1.01  9760
mean.R[1, 4]     0.14692145 0.07142254  0.0402387583  0.135845717  0.31469918 1.00  4789
mean.R[2, 4]     0.15226934 0.08802345  0.0319918600  0.134930013  0.36716229 1.00  8086
mean.R[3, 4]     0.15132904 0.09867875  0.0233400107  0.129549797  0.39516283 1.00  9160
mean.R[4, 4]     0.12326908 0.11903391  0.0057396941  0.085261918  0.44965960 1.00  5041
mean.R[5, 4]     0.14586585 0.13491326  0.0070781673  0.103298016  0.51376449 1.00  5310
mean.R[6, 4]     0.02628246 0.03148209  0.0007089772  0.015482724  0.11316873 1.00  7775
mean.R[1, 5]     0.05297858 0.03882241  0.0083920062  0.042742111  0.15570580 1.00  1776
mean.R[2, 5]     0.21924480 0.14798893  0.0302153922  0.184654768  0.58957199 1.00  2601
mean.R[3, 5]     0.37008044 0.22081161  0.0465079313  0.339075575  0.83518690 1.00  2118
mean.R[4, 5]     0.32065087 0.12419279  0.1135492480  0.309476854  0.58811499 1.00  6454
mean.R[5, 5]     0.62105467 0.19055358  0.2222599681  0.642909624  0.92127387 1.00  4026
mean.R[6, 5]     0.25898264 0.18605092  0.0243665001  0.215554662  0.71301581 1.00  3488
mean.R[1, 6]     0.05580817 0.03798619  0.0106658955  0.046327749  0.15621772 1.00  2276
mean.R[2, 6]     0.19866029 0.11831701  0.0378235635  0.175198997  0.48669579 1.00  2961
mean.R[3, 6]     0.32825372 0.19687230  0.0469029652  0.294394806  0.76262282 1.00  2164
mean.R[4, 6]     0.26690127 0.10944860  0.0931100622  0.252964099  0.51609934 1.00  6770
mean.R[5, 6]     0.55081594 0.17197985  0.2086755967  0.558618240  0.85607589 1.01  4732
mean.R[6, 6]     0.21217989 0.15447269  0.0231877770  0.173474557  0.60600925 1.00  4144
mean.R[1, 7]     0.01944445 0.01509149  0.0020218321  0.015589257  0.05857025 1.00  2207
mean.R[2, 7]     0.08888357 0.07846179  0.0067729673  0.065818535  0.29920894 1.00  2096
mean.R[3, 7]     0.15160998 0.13604892  0.0088271541  0.110014208  0.51529697 1.00  2325
mean.R[4, 7]     0.09929498 0.06881545  0.0116222766  0.084088063  0.27143920 1.01  2022
mean.R[5, 7]     0.30823941 0.18292836  0.0401852788  0.280311131  0.70574544 1.01  2426
mean.R[6, 7]     0.12408916 0.11599832  0.0072768021  0.087278051  0.44203994 1.01  3420
mean.R[1, 8]     0.09023614 0.06073521  0.0191833712  0.074784628  0.25430288 1.00  4532
mean.R[2, 8]     0.18604422 0.10405899  0.0436099532  0.165294545  0.44268781 1.00  6280
mean.R[3, 8]     0.20722459 0.12698963  0.0373161516  0.180851475  0.52053756 1.00  5390
mean.R[4, 8]     0.12764384 0.07885306  0.0275218903  0.109750352  0.33202876 1.00  6670
