Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.43 
Min n.eff:                        0 


Model summary 
============= 
                        mean         sd          2.5%          50%       97.5% Rhat n.eff
betaD.R[1]      -0.563261228 0.49321675 -1.5475749728 -0.557653346  0.38305060 1.00   975
betaD.R[2]      -0.047362548 0.53286554 -1.1175104047 -0.043065961  0.98575780 1.00  1696
betaD.R[3]       0.420162463 0.61012377 -0.7781273946  0.423771352  1.61447559 1.00  2006
betaD.R[4]       0.824803178 0.45598411 -0.0734465530  0.821645252  1.71546403 1.00  5158
betaD.R[5]       0.933681557 0.55734529 -0.1623157226  0.932597764  2.03630484 1.00  4257
betaD.R[6]       0.330709618 0.65691106 -0.9805810289  0.340247660  1.59393593 1.00  3468
betaD.phi[1]    -1.139363339 0.29907401 -1.7477737230 -1.130175400 -0.56461651 1.00   525
betaD.phi[2]     0.326610282 0.36308564 -0.4005943796  0.330963379  1.03749688 1.01   800
betaD.phi[3]     0.427607033 0.40513481 -0.3217320683  0.413550966  1.26296122 1.00   835
betaD.phi[4]    -0.046762185 0.29401277 -0.6274954816 -0.047867431  0.53032024 1.00  1551
betaD.phi[5]    -0.376865034 0.41490176 -1.2023535660 -0.374982149  0.44112573 1.00  1662
betaD.phi[6]    -0.062346766 0.45857702 -0.9784974927 -0.051935859  0.83194458 1.01  1174
betaV.R[1]       0.982163966 0.45448497  0.1490384113  0.970897288  1.89983132 1.00   947
betaV.R[2]       0.006051268 0.54892542 -1.0586850479 -0.003299507  1.10321746 1.00  1673
betaV.R[3]      -0.418753725 0.64839505 -1.6941274919 -0.430534956  0.84947522 1.00  1842
betaV.R[4]      -0.619494001 0.53351348 -1.6992057641 -0.613947591  0.41167802 1.00  3550
betaV.R[5]      -1.119423442 0.66579713 -2.4538556438 -1.108089506  0.16848953 1.00  3637
betaV.R[6]      -1.036510875 0.72243899 -2.4688677335 -1.027501696  0.35457675 1.00  3784
betaV.phi[1]     1.020681239 0.31944431  0.4011638021  1.023989243  1.65198737 1.01   480
betaV.phi[2]    -0.117998052 0.38358967 -0.8739922767 -0.121329363  0.65667663 1.01   743
betaV.phi[3]    -0.679949129 0.42324958 -1.5650410799 -0.667005500  0.09914778 1.00   875
betaV.phi[4]     0.313759482 0.32547237 -0.3169938711  0.313109853  0.96685420 1.00  1518
betaV.phi[5]    -0.097736880 0.44774003 -0.9661776548 -0.099823334  0.77697061 1.00  1594
betaV.phi[6]    -0.739019413 0.53576112 -1.7961150217 -0.741428230  0.31766279 1.01  1127
betaX.R         -0.548925347 0.19516009 -0.9439612216 -0.543007413 -0.17845638 1.00  3630
betaX.phi        0.202554954 0.08156718  0.0431875253  0.201845315  0.36255073 1.00  3684
mean.R[1, 1]     0.076264367 0.05508191  0.0099382634  0.064860512  0.21921635 1.01  2121
mean.R[2, 1]     0.160079734 0.08585900  0.0392074144  0.144774745  0.37308498 1.00  2867
mean.R[3, 1]     0.237016913 0.14488785  0.0499657433  0.203874427  0.62291393 1.00  2472
mean.R[4, 1]     0.190441727 0.10620367  0.0346623043  0.173497606  0.44387939 1.00  3523
mean.R[5, 1]     0.382033527 0.19615304  0.0765629354  0.355198482  0.82370426 1.00  2829
mean.R[6, 1]     0.111040522 0.11717706  0.0067094170  0.074572697  0.45150431 1.01  3180
mean.R[1, 2]     0.166772799 0.06749419  0.0650200754  0.156940854  0.32621153 1.03  2439
mean.R[2, 2]     0.175831212 0.10795950  0.0346691351  0.152684204  0.44777920 1.03  3124
mean.R[3, 2]     0.215369462 0.13263659  0.0334603293  0.190315993  0.53537983 1.02  6459
mean.R[4, 2]     0.206683108 0.16575309  0.0143242142  0.161799076  0.63403922 1.01  4759
mean.R[5, 2]     0.255501998 0.19439705  0.0148251672  0.207756013  0.71948230 1.00  6780
mean.R[6, 2]     0.046034270 0.05298309  0.0009700725  0.027260191  0.19356273 1.01  8575
mean.R[1, 3]     0.166859581 0.07425598  0.0516535145  0.157311770  0.33695183 1.01  5032
mean.R[2, 3]     0.153896935 0.10482135  0.0222217102  0.129357403  0.41793788 1.00  7868
mean.R[3, 3]     0.195086684 0.13862719  0.0196378194  0.163116998  0.53261585 1.00 10905
mean.R[4, 3]     0.203898593 0.18112128  0.0078858880  0.148735646  0.67636857 1.00  6016
mean.R[5, 3]     0.231130793 0.20605520  0.0067272629  0.166513855  0.74366424 1.00  7204
mean.R[6, 3]     0.036599501 0.05057387  0.0003445474  0.017326741  0.18336570 1.00 10046
mean.R[1, 4]     0.173065710 0.06312917  0.0712924278  0.165991634  0.31535189 1.00  3179
mean.R[2, 4]     0.154624732 0.08060807  0.0402959643  0.140498811  0.34950473 1.00  5858
mean.R[3, 4]     0.163345758 0.09541782  0.0313925834  0.146034410  0.39690073 1.00  8782
mean.R[4, 4]     0.134628941 0.11221758  0.0109848893  0.103416022  0.43596078 1.00  4612
mean.R[5, 4]     0.173206604 0.14004862  0.0120094965  0.135883869  0.53462297 1.00  6171
mean.R[6, 4]     0.034304473 0.03633275  0.0012494261  0.022517024  0.13548594 1.00  7904
mean.R[1, 5]     0.036267678 0.02468676  0.0068209866  0.030142363  0.10009157 1.01  1429
mean.R[2, 5]     0.183050068 0.12239408  0.0284976486  0.154016913  0.48952799 1.00  1910
mean.R[3, 5]     0.322681350 0.19307135  0.0468503342  0.291322557  0.75426898 1.00  1954
mean.R[4, 5]     0.280586338 0.10485338  0.1077181464  0.270164880  0.51131279 1.01  6951
mean.R[5, 5]     0.576236883 0.18110554  0.2097368401  0.590209297  0.88050821 1.00  3847
mean.R[6, 5]     0.211589755 0.16009483  0.0198566817  0.170312762  0.61553660 1.00  3522
mean.R[1, 6]     0.040465322 0.02340509  0.0097712690  0.035636664  0.10011330 1.01  1510
mean.R[2, 6]     0.173925120 0.10247366  0.0358688414  0.152317765  0.42410079 1.00  2057
mean.R[3, 6]     0.292469964 0.16746584  0.0533300306  0.264672667  0.67859428 1.00  2007
mean.R[4, 6]     0.238443493 0.08490329  0.1003243651  0.229601786  0.42762301 1.00  6932
mean.R[5, 6]     0.515765149 0.16264919  0.2053491105  0.519218775  0.81374532 1.00  4128
mean.R[6, 6]     0.178959747 0.13080617  0.0211420451  0.145840608  0.51024629 1.00  3608
mean.R[1, 7]     0.031918910 0.01723492  0.0081973569  0.028707944  0.07398330 1.00  1783
mean.R[2, 7]     0.158798103 0.09384834  0.0322329503  0.139374282  0.39368269 1.01  1989
mean.R[3, 7]     0.252289286 0.15452618  0.0394825870  0.222482056  0.61774904 1.01  2168
mean.R[4, 7]     0.173458865 0.07265222  0.0560839839  0.165155464  0.33742102 1.02  3294
mean.R[5, 7]     0.459047545 0.16554013  0.1507402394  0.457380116  0.77793461 1.02  3142
mean.R[6, 7]     0.196279743 0.13522091  0.0254900082  0.165544115  0.53469409 1.00  3663
mean.R[1, 8]     0.067326810 0.02933855  0.0245118938  0.062619630  0.13859279 1.02  3506
mean.R[2, 8]     0.163947563 0.06327237  0.0653672441  0.155595340  0.31082517 1.00  4718
mean.R[3, 8]     0.190269864 0.09195058  0.0526804338  0.175974077  0.40506450 1.00  4543
mean.R[4, 8]     0.104496159 0.04603400  0.0367936502  0.096976549  0.21271652 1.01  5286
mean.R[5, 8]     0.269777113 0.09590679  0.1097309100  0.260763549  0.48023871 1.00  6923
mean.R[6, 8]     0.119103908 0.06831684  0.0254783129  0.106448792  0.28610180 1.00  5678
mean.R[1, 9]     0.069393280 0.02898767  0.0253009202  0.065069337  0.13715366 1.01  4267
mean.R[2, 9]     0.163011062 0.06368396  0.0621125847  0.154928558  0.30976017 1.00  5725
mean.R[3, 9]     0.181879929 0.08941665  0.0488070828  0.167527200  0.38993802 1.00  5086
mean.R[4, 9]     0.095627145 0.04350624  0.0314304817  0.088727116  0.19768014 1.00  6106
mean.R[5, 9]     0.249646060 0.09289358  0.0974007287  0.240118499  0.45403493 1.00  8153
mean.R[6, 9]     0.115945834 0.06787602  0.0238064707  0.103033004  0.28282763 1.00  6322
mean.R[1, 10]    0.057500186 0.02487594  0.0203797390  0.053766241  0.11517332 1.01  4232
mean.R[2, 10]    0.157120609 0.06410664  0.0563142107  0.148586313  0.30588676 1.01  4240
