Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.03 
Min n.eff:                        0 


Model summary 
============= 
                        mean         sd         2.5%           50%       97.5% Rhat n.eff
betaVR.R[1]     -0.148338392 0.44256313 -0.995274867 -0.1620958522  0.74579077 1.00  2856
betaVR.R[2]     -0.347799087 0.38136768 -1.050372775 -0.3554896599  0.42425291 1.01  1675
betaVR.R[3]     -0.825286399 0.51716016 -1.836620303 -0.8151896800  0.18648006 1.00  3530
betaVR.R[4]     -0.700091643 0.62225868 -1.923168084 -0.6987741411  0.53634505 1.00  5093
betaVR.phi[1]   -0.389110539 0.18766466 -0.770343023 -0.3848155590 -0.03069298 1.00  3314
betaVR.phi[2]    0.102593298 0.14151020 -0.169555254  0.1021325213  0.38564626 1.00  3335
betaVR.phi[3]   -0.051919822 0.26742237 -0.584462435 -0.0481057202  0.46846144 1.00  4890
betaVR.phi[4]   -0.122185052 0.32297452 -0.743488206 -0.1274661015  0.52176509 1.00  3469
betaX.R         -0.476507550 0.22924716 -0.942729148 -0.4739940854 -0.03390231 1.00  4168
betaX.phi        0.113722922 0.09025092 -0.060493324  0.1137026356  0.29342150 1.00  4660
eps.R[1]         0.189271101 0.73905259 -1.250203199  0.1081652407  1.82049082 1.00  4723
eps.R[2]        -0.472770322 0.77362139 -2.341958360 -0.3088015228  0.72348226 1.00  1369
eps.R[3]        -0.428154755 0.64150127 -1.945162406 -0.3223363441  0.61909308 1.01  1943
eps.R[4]         0.220773184 0.51522481 -0.762308083  0.1708876317  1.30996695 1.01  3397
eps.R[5]         0.840611944 0.75858640 -0.251118137  0.7261527093  2.58204027 1.02   631
eps.R[6]         0.420256327 0.59464820 -0.575199995  0.3316413803  1.77563090 1.01  1304
eps.R[7]        -0.525550090 0.79743771 -2.440755362 -0.3669293277  0.68722178 1.01  1964
eps.R[8]        -0.131527002 0.64149081 -1.610340712 -0.0690487456  1.08367650 1.00  5149
eps.R[9]        -0.300498608 0.63953908 -1.776628182 -0.1967194960  0.78929368 1.01  2886
eps.R[10]       -0.233848997 0.64968162 -1.762869495 -0.1348912014  0.91885918 1.00  4303
eps.R[11]        0.441828672 0.57093634 -0.562789496  0.3748053715  1.69377274 1.00  2510
eps.R[12]       -0.181648662 0.62966085 -1.624031123 -0.1051927861  0.97881214 1.01  3968
eps.R[13]        0.584069354 0.57107512 -0.350063199  0.5321687430  1.82622757 1.01  1398
eps.R[14]       -0.354961388 0.64336486 -1.890431278 -0.2445657498  0.70425513 1.00  2029
eps.R[15]       -0.551278361 0.80528786 -2.534828555 -0.3812636339  0.61366039 1.01  1069
eps.R[16]       -0.215476918 0.53692890 -1.445195170 -0.1451778051  0.76202577 1.01  3342
eps.R[17]       -0.718395385 0.83989049 -2.728526021 -0.5477781970  0.45278940 1.02   876
eps.p[1]         0.000000000 0.00000000  0.000000000  0.0000000000  0.00000000  NaN     0
eps.p[2]         0.343112189 0.68166183 -0.904404433  0.3068617846  1.78639581 1.00  6261
eps.p[3]         0.379635781 0.66817972 -0.841898650  0.3448549397  1.78874375 1.00  5328
eps.p[4]         0.797984562 0.62629356 -0.296830359  0.7411389826  2.16615522 1.00  3981
eps.p[5]         0.626439613 0.55417583 -0.368624216  0.5935171163  1.83617878 1.00  4169
eps.p[6]         0.901384554 0.62132224 -0.153257657  0.8470705593  2.28644383 1.00  3409
eps.p[7]         0.868421470 0.61865873 -0.189827322  0.8109416718  2.24289857 1.00  3575
eps.p[8]         0.507909928 0.56191271 -0.503123640  0.4757140698  1.69356624 1.00  4825
eps.p[9]         0.788014751 0.64321662 -0.318102476  0.7347330847  2.19911819 1.00  3727
eps.p[10]        0.354635882 0.59315356 -0.734249666  0.3242824166  1.60675265 1.00  4889
eps.p[11]        0.324271572 0.51069068 -0.616194888  0.2952782546  1.39140801 1.00  5306
eps.p[12]       -0.137634650 0.46637206 -1.039168562 -0.1454196337  0.79248358 1.00  4590
eps.p[13]       -0.698762169 0.43638423 -1.550156189 -0.7047197949  0.14998794 1.00  2731
eps.p[14]       -1.680338589 0.39461755 -2.472004976 -1.6833363219 -0.91195673 1.01  1709
eps.p[15]       -0.312648930 0.45993019 -1.219666267 -0.3114932100  0.58406236 1.00  3392
eps.p[16]        0.006415407 0.49101005 -0.928222541 -0.0102058025  1.01205618 1.00  4507
eps.p[17]        0.163838610 0.48330971 -0.753709533  0.1445846624  1.16451523 1.00  4656
eps.p[18]       -0.717911425 0.64062619 -1.862056872 -0.7591554503  0.63848035 1.01  1689
eps.phi[1, 1]    0.003810680 0.21899619 -0.462448302  0.0028406566  0.49210580 1.01  3462
eps.phi[2, 1]    0.002592849 0.23335593 -0.496704415  0.0015615939  0.51878247 1.01  2592
eps.phi[3, 1]   -0.033912952 0.23683006 -0.593803597 -0.0125381729  0.43036973 1.00  2275
eps.phi[4, 1]    0.074613853 0.24480271 -0.324355829  0.0290226621  0.69990123 1.02  1039
eps.phi[1, 2]    0.025859003 0.21602038 -0.394120197  0.0106135465  0.52804639 1.00  2403
eps.phi[2, 2]    0.009668244 0.22480370 -0.462032078  0.0037756188  0.51245495 1.01  3744
eps.phi[3, 2]   -0.042452806 0.24547005 -0.647153488 -0.0130806099  0.41955721 1.00  2250
eps.phi[4, 2]   -0.112304708 0.26164885 -0.807475324 -0.0509057981  0.28798775 1.01   828
eps.phi[1, 3]    0.035740356 0.19177792 -0.338575467  0.0170737296  0.48741052 1.01  3053
eps.phi[2, 3]    0.004246753 0.21536133 -0.441248493  0.0017391928  0.47900579 1.00  3690
eps.phi[3, 3]   -0.008152555 0.22081741 -0.483715379 -0.0014801579  0.46521078 1.01  3507
eps.phi[4, 3]   -0.066278631 0.22545856 -0.639381992 -0.0305260796  0.34098592 1.02  1713
eps.phi[1, 4]   -0.003330349 0.17963038 -0.392926750  0.0004800696  0.37183151 1.00  3619
eps.phi[2, 4]    0.093188751 0.22962785 -0.277627511  0.0424836733  0.69634354 1.01   982
eps.phi[3, 4]    0.014606336 0.21805489 -0.442353059  0.0067827082  0.50805906 1.00  4110
eps.phi[4, 4]   -0.096603484 0.24322567 -0.730822297 -0.0423707210  0.29166247 1.00   875
eps.phi[1, 5]    0.030531366 0.22275863 -0.405273916  0.0101558261  0.56192487 1.01  3231
eps.phi[2, 5]   -0.002885968 0.19944046 -0.436054719 -0.0024706208  0.42999259 1.00  3066
eps.phi[3, 5]   -0.005004398 0.22615289 -0.509101800 -0.0023134410  0.48937553 1.01  3706
eps.phi[4, 5]   -0.014927462 0.22637444 -0.542035270 -0.0046776589  0.43855645 1.01  3405
eps.phi[1, 6]   -0.049202158 0.21702013 -0.566747126 -0.0246832660  0.36296080 1.01  3477
eps.phi[2, 6]    0.021356766 0.19903848 -0.376944863  0.0094106991  0.47901465 1.01  2962
eps.phi[3, 6]   -0.110239482 0.25775527 -0.796722928 -0.0466522967  0.28541397 1.01   637
eps.phi[4, 6]   -0.011913821 0.22345845 -0.498473606 -0.0071526127  0.46410530 1.00  3764
eps.phi[1, 7]    0.060388757 0.23704692 -0.356294086  0.0245389704  0.65257682 1.01  2070
eps.phi[2, 7]   -0.036921723 0.20217960 -0.511037837 -0.0143259775  0.35556025 1.00  2318
eps.phi[3, 7]    0.074845490 0.24359854 -0.328840592  0.0279481152  0.71258077 1.01  1108
eps.phi[4, 7]    0.008175303 0.23797891 -0.506792176  0.0049630839  0.52604104 1.01  2863
eps.phi[1, 8]   -0.027880866 0.22713354 -0.559650440 -0.0091496351  0.42703661 1.01  3543
eps.phi[2, 8]    0.068816801 0.20174063 -0.293638375  0.0377686203  0.57748826 1.01  1750
eps.phi[3, 8]    0.054626773 0.22305858 -0.348868145  0.0229734032  0.60421367 1.01  2381
eps.phi[4, 8]   -0.026815870 0.22671887 -0.554707246 -0.0107094512  0.42183856 1.01  3856
eps.phi[1, 9]    0.013262540 0.22530875 -0.457162317  0.0033877633  0.52245306 1.01  3516
eps.phi[2, 9]   -0.164001930 0.25891370 -0.831514511 -0.0898536171  0.17449022 1.02   345
eps.phi[3, 9]    0.059388068 0.21121824 -0.306001709  0.0263411160  0.58311652 1.01  2380
eps.phi[4, 9]    0.026841800 0.22491465 -0.419891607  0.0091911690  0.54115466 1.01  3288
eps.phi[1, 10]  -0.023044120 0.19588538 -0.479823327 -0.0095038458  0.36474433 1.01  3422
eps.phi[2, 10]   0.062644762 0.22616071 -0.334420453  0.0280047603  0.62497611 1.01  2439
eps.phi[3, 10]   0.110287106 0.24304239 -0.254006230  0.0516479399  0.73762891 1.01   709
eps.phi[4, 10]   0.071701587 0.23318032 -0.338511724  0.0319905114  0.65560877 1.01  2012
eps.phi[1, 11]   0.022074636 0.18599898 -0.363683401  0.0098594366  0.44094457 1.01  3152
eps.phi[2, 11]  -0.003654935 0.22004431 -0.483507469 -0.0017473692  0.46857185 1.01  4063
eps.phi[3, 11]   0.006177176 0.20664538 -0.443450467  0.0018703221  0.46292568 1.00  3723
eps.phi[4, 11]   0.005965331 0.21318350 -0.462130135  0.0020088952  0.47010557 1.00  3851
