Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.03 
Min n.eff:                        0 


Model summary 
============= 
                        mean         sd          2.5%          50%       97.5% Rhat n.eff
betaVR.R[1]      0.898142692 0.41244086  0.1298156504  0.882313277  1.77353538 1.00  3986
betaVR.R[2]      0.154094243 0.46672865 -0.7230351038  0.142681185  1.09396060 1.00  3438
betaVR.R[3]     -0.506327314 0.62331112 -1.7478368427 -0.500560582  0.70557812 1.00  4046
betaVR.R[4]     -0.466875218 0.36822214 -1.2001994939 -0.472669389  0.25758716 1.00  2348
betaVR.R[5]     -0.851962910 0.50383922 -1.8533043448 -0.852216697  0.13411621 1.01  4636
betaVR.R[6]     -0.750519427 0.62415941 -1.9562797726 -0.751789022  0.48103906 1.00  5726
betaVR.phi[1]    1.017683710 0.22594619  0.5852963132  1.014415720  1.47092884 1.00  1548
betaVR.phi[2]   -0.170673261 0.29373042 -0.7658337917 -0.164847478  0.39622280 1.00  2288
betaVR.phi[3]   -0.503993088 0.33192537 -1.2004836259 -0.488976750  0.10191902 1.01  2405
betaVR.phi[4]    0.127453574 0.20034761 -0.2655917555  0.125849947  0.51917570 1.00  1573
betaVR.phi[5]    0.008639091 0.29643989 -0.5793009402  0.011429657  0.57871298 1.00  3330
betaVR.phi[6]   -0.095701929 0.36333996 -0.8275758908 -0.087957477  0.60142177 1.00  2895
betaX.R         -0.600215402 0.20256147 -1.0061204161 -0.598886936 -0.22000877 1.00  3489
betaX.phi        0.202642944 0.07991396  0.0442194094  0.203122194  0.36071252 1.00  4098
mean.R[1, 1]     0.128089295 0.10382743  0.0148119534  0.098747182  0.41218979 1.00  5258
mean.R[2, 1]     0.183472083 0.11662020  0.0328956740  0.157371929  0.48974066 1.00  5252
mean.R[3, 1]     0.232094668 0.16057914  0.0324414740  0.192024014  0.65878469 1.00  5260
mean.R[4, 1]     0.139352606 0.10325612  0.0186279015  0.113197225  0.41880118 1.00  4587
mean.R[5, 1]     0.305730828 0.18043156  0.0499270078  0.271851353  0.73343867 1.00  4895
mean.R[6, 1]     0.114774217 0.11354027  0.0086216819  0.079938950  0.43208241 1.00  5013
mean.R[1, 2]     0.181801650 0.08339383  0.0646562090  0.165883304  0.38096611 1.01  1610
mean.R[2, 2]     0.262412695 0.11850923  0.0879775467  0.242265797  0.54566243 1.01  2461
mean.R[3, 2]     0.301032440 0.13339276  0.0941478409  0.283145429  0.60178679 1.01  3097
mean.R[4, 2]     0.190777727 0.10584211  0.0491315949  0.167134950  0.45377428 1.01  2571
mean.R[5, 2]     0.372030458 0.14350933  0.1375628907  0.356983673  0.68134527 1.01  2430
mean.R[6, 2]     0.139732457 0.08357783  0.0292060925  0.122754900  0.34706851 1.00  4154
mean.R[1, 3]     0.074891199 0.03955153  0.0176575893  0.069260570  0.16844527 1.00  4421
mean.R[2, 3]     0.112556240 0.05851579  0.0268139061  0.103281893  0.25011787 1.00  3800
mean.R[3, 3]     0.133795724 0.07584926  0.0274260205  0.119785000  0.31810772 1.00  3830
mean.R[4, 3]     0.075270356 0.04579373  0.0147036785  0.066103973  0.19078275 1.00  3828
mean.R[5, 3]     0.174742226 0.09059256  0.0396199629  0.160791872  0.38276688 1.00  3610
mean.R[6, 3]     0.054400730 0.03880959  0.0075818444  0.044914950  0.15300824 1.00  4518
mean.R[1, 4]     0.127474195 0.05865273  0.0400284666  0.118764400  0.26819257 1.00  6195
