Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.04 
Min n.eff:                        0 


Model summary 
============= 
                         mean         sd          2.5%           50%       97.5% Rhat n.eff
betaVR.R[1]      0.3499180311 0.66843382 -1.0082506498  0.3534347452  1.64787693 1.00  1547
betaVR.R[2]      0.1439520427 0.60328355 -0.9724366949  0.1246545219  1.36073769 1.00   745
betaVR.R[3]     -0.5636992712 0.62403337 -1.8243833000 -0.5518820579  0.65270212 1.00  2132
betaVR.R[4]     -0.3881121945 0.68776820 -1.7752927538 -0.3766372083  0.97159993 1.00  2957
betaVR.phi[1]   -0.3826821396 0.18841515 -0.7598331219 -0.3769124056 -0.02352667 1.00  3369
betaVR.phi[2]    0.1039650612 0.13991500 -0.1736962109  0.1038713047  0.37704911 1.00  3837
betaVR.phi[3]   -0.0370082780 0.26186173 -0.5696192266 -0.0290123128  0.45765148 1.00  4925
betaVR.phi[4]   -0.1046176868 0.32216695 -0.7355643306 -0.1050812113  0.53796352 1.00  3509
betaX.R         -0.8478671923 0.36186269 -1.6069554527 -0.8330274906 -0.16693425 1.00  1373
betaX.phi        0.1249681328 0.08902231 -0.0480908925  0.1249068586  0.30190654 1.00  4700
eps.R[1]         1.0195619735 1.58519717 -1.6076589812  0.7709251236  4.72947175 1.00  2133
eps.R[2]        -0.9729914003 1.44727901 -4.4761210890 -0.7253436605  1.25338989 1.01  1691
eps.R[3]        -0.4208406826 1.06408786 -2.7663586443 -0.3263290187  1.55605662 1.01  2037
eps.R[4]        -0.1214430900 0.80933336 -1.7550902219 -0.1090528528  1.51347139 1.00  2262
eps.R[5]         1.7505102645 1.22783267 -0.2894021582  1.6522589374  4.38690726 1.00   553
eps.R[6]         1.2463639413 1.05952853 -0.5375204600  1.1522840678  3.53976927 1.01   640
eps.R[7]         0.0066351337 1.77664170 -3.7706837767  0.0072270994  3.81933393 1.00  1185
eps.R[8]         0.8314577606 1.22507000 -1.3666527351  0.7160000024  3.47064350 1.00  1646
eps.R[9]        -0.4349883901 0.99697388 -2.5565819967 -0.3658358677  1.41453494 1.00  2660
eps.R[10]       -0.1104527176 1.05228696 -2.3315502175 -0.0690093199  1.90139085 1.00  2798
eps.R[11]        1.9851866351 1.30989378 -0.1025452731  1.8718873464  4.79596597 1.01   597
eps.R[12]        0.2653698979 1.22126853 -2.1114498049  0.1989718575  2.87298001 1.00  1457
eps.R[13]        2.1759191662 1.51647359 -0.0907228279  1.9738948693  5.71369412 1.00   586
eps.R[14]        0.1054194969 1.10093676 -2.1085503481  0.1047462580  2.35498539 1.00  1634
eps.R[15]       -0.6505482093 1.51798953 -4.1015243408 -0.4786245410  2.04822796 1.00  1351
eps.R[16]        1.5627262506 1.56346745 -0.6927860221  1.2745700803  5.37419632 1.01   634
eps.R[17]       -0.0618543678 1.58867700 -3.3698635225 -0.0354044312  3.17421300 1.00   807
eps.p[1]         0.0000000000 0.00000000  0.0000000000  0.0000000000  0.00000000  NaN     0
eps.p[2]         0.3300349886 0.68164623 -0.9276522955  0.2917291757  1.75053552 1.00  5965
eps.p[3]         0.4045240209 0.66922574 -0.8088306621  0.3644519891  1.84664122 1.00  5534
eps.p[4]         0.8116354908 0.63518465 -0.2587108656  0.7575684805  2.21377993 1.00  3878
eps.p[5]         0.6230351289 0.56170008 -0.3850264066  0.5902073492  1.82441077 1.00  3892
eps.p[6]         0.8858086696 0.63199194 -0.1755202412  0.8180377029  2.29292060 1.00  3710
eps.p[7]         0.8864503135 0.62242404 -0.1831712210  0.8276847135  2.27202124 1.00  3446
eps.p[8]         0.5044530432 0.56433963 -0.5101018330  0.4683057719  1.72004489 1.00  4698
eps.p[9]         0.7807884731 0.62483407 -0.3213556513  0.7359592100  2.14431444 1.00  3986
eps.p[10]        0.3503416033 0.57210089 -0.6759366930  0.3160403618  1.58256731 1.00  6234
eps.p[11]        0.3276212915 0.51352978 -0.5999846149  0.3012995617  1.42181079 1.00  4787
eps.p[12]       -0.1430302891 0.46058208 -1.0220556620 -0.1501318099  0.78767281 1.00  4449
eps.p[13]       -0.6832406701 0.43862492 -1.5388190542 -0.6790374397  0.17077323 1.00  3279
eps.p[14]       -1.6744641798 0.38713229 -2.4456770139 -1.6722236454 -0.91580689 1.00  1730
eps.p[15]       -0.3223936637 0.44907432 -1.1968802396 -0.3302508644  0.57561961 1.00  3622
eps.p[16]       -0.0005115986 0.48744893 -0.9277321406 -0.0174241792  0.99967156 1.00  5328
eps.p[17]        0.1523261184 0.48498249 -0.7596492547  0.1338221755  1.15116709 1.00  4906
eps.p[18]       -0.6215066735 0.64169587 -1.7599037015 -0.6668984733  0.73903246 1.00  1856
eps.phi[1, 1]    0.0076670158 0.20470913 -0.4211014408  0.0027568955  0.44906416 1.01  3111
eps.phi[2, 1]    0.0052099999 0.20525259 -0.4346449535  0.0034342138  0.46438086 1.00  3997
eps.phi[3, 1]   -0.0280888082 0.22087502 -0.5368018719 -0.0100657390  0.39064130 1.03  3247
eps.phi[4, 1]    0.0607173131 0.21987354 -0.3039614598  0.0231508167  0.61728442 1.01  2233
eps.phi[1, 2]    0.0138850329 0.18529481 -0.3623697975  0.0026506252  0.43133373 1.01  3821
eps.phi[2, 2]    0.0101957414 0.21147136 -0.4096320847  0.0037696269  0.47171356 1.01  3051
eps.phi[3, 2]   -0.0364623473 0.22012055 -0.5559279517 -0.0115263793  0.37267863 1.01  2531
eps.phi[4, 2]   -0.0924425703 0.23919906 -0.7353394687 -0.0406239843  0.26225165 1.02   926
eps.phi[1, 3]    0.0354585449 0.17622458 -0.2976767134  0.0150730784  0.44592343 1.01  2771
eps.phi[2, 3]   -0.0007238463 0.19180511 -0.4181070055 -0.0014009422  0.41524522 1.01  3531
eps.phi[3, 3]   -0.0064346951 0.20566011 -0.4592867472 -0.0029692640  0.42964906 1.01  4251
eps.phi[4, 3]   -0.0594824857 0.21286675 -0.5963552474 -0.0216654795  0.29753961 1.02  1403
eps.phi[1, 4]    0.0037687282 0.16817419 -0.3569113153  0.0005954397  0.36933258 1.01  3656
eps.phi[2, 4]    0.0742693907 0.21304116 -0.2721918462  0.0324065753  0.61273306 1.01  1387
eps.phi[3, 4]    0.0074163317 0.20012894 -0.4104355847  0.0025479168  0.44292186 1.00  3273
eps.phi[4, 4]   -0.0847722937 0.22506334 -0.6843527895 -0.0371742728  0.27296974 1.01   849
eps.phi[1, 5]    0.0320263440 0.21197826 -0.3606593638  0.0106036349  0.53047705 1.00  2531
eps.phi[2, 5]   -0.0005248976 0.18258736 -0.3817370315 -0.0012795284  0.38576581 1.01  3329
eps.phi[3, 5]    0.0023498254 0.20081623 -0.4230879912  0.0001531271  0.44650899 1.01  3730
eps.phi[4, 5]   -0.0069498060 0.20898783 -0.4786594770 -0.0005872665  0.41265934 1.01  3363
eps.phi[1, 6]   -0.0373310062 0.19443736 -0.5028074673 -0.0122149615  0.33881571 1.01  2705
eps.phi[2, 6]    0.0165355441 0.17477293 -0.3435445810  0.0050771100  0.40166533 1.01  3651
eps.phi[3, 6]   -0.0962928954 0.23919026 -0.7447269684 -0.0415863944  0.25739645 1.02   888
eps.phi[4, 6]   -0.0146772396 0.20627013 -0.4904053813 -0.0021426487  0.38276915 1.01  3743
eps.phi[1, 7]    0.0470665498 0.20338078 -0.3154041945  0.0175242880  0.54524204 1.02  3328
eps.phi[2, 7]   -0.0399386771 0.18750797 -0.4944617105 -0.0151836939  0.31073805 1.02  2747
eps.phi[3, 7]    0.0602284505 0.21979045 -0.3151793995  0.0243551016  0.61898592 1.01  1338
eps.phi[4, 7]    0.0186666953 0.21066201 -0.3993214792  0.0046730631  0.50333109 1.01  3919
eps.phi[1, 8]   -0.0212300851 0.20979001 -0.5000590720 -0.0069408145  0.39456160 1.01  3624
eps.phi[2, 8]    0.0533616036 0.18154926 -0.2731169607  0.0237494084  0.49850921 1.01  3138
eps.phi[3, 8]    0.0456174637 0.19889291 -0.3077637963  0.0170453979  0.52108191 1.01  2857
eps.phi[4, 8]   -0.0271898643 0.20664048 -0.4933276955 -0.0093395305  0.38659913 1.00  3599
eps.phi[1, 9]    0.0135390102 0.21193143 -0.4005068742  0.0028831811  0.48146170 1.01  2996
eps.phi[2, 9]   -0.1448844434 0.23620208 -0.7876653335 -0.0793513554  0.17225806 1.03   379
eps.phi[3, 9]    0.0545966475 0.20476508 -0.2997506950  0.0198095919  0.55224531 1.02  2326
eps.phi[4, 9]    0.0199577747 0.20669748 -0.3952215834  0.0072970994  0.47443643 1.01  3635
eps.phi[1, 10]  -0.0170423051 0.18931014 -0.4411035078 -0.0067953351  0.36663305 1.01  3787
eps.phi[2, 10]   0.0532323092 0.20257085 -0.2922079631  0.0239830628  0.53682564 1.02  2417
eps.phi[3, 10]   0.1006301274 0.22176747 -0.2250621731  0.0511793348  0.67690083 1.01   748
eps.phi[4, 10]   0.0586968684 0.21169644 -0.3031340405  0.0231038042  0.58569217 1.02  1686
eps.phi[1, 11]   0.0223969310 0.17284379 -0.3197652113  0.0092703665  0.41380680 1.00  3311
eps.phi[2, 11]  -0.0015763122 0.19586627 -0.4245904616  0.0002134652  0.40904025 1.01  4192
eps.phi[3, 11]   0.0002172085 0.19226332 -0.4069429343 -0.0001980796  0.42608306 1.01  4186
eps.phi[4, 11]   0.0024939437 0.19570904 -0.3902415297 -0.0006775232  0.43159410 1.01  3819
