Information and diagnostics 
=========================== 
Total iter:                       5000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.04 
Min n.eff:                        0 


Model summary 
============= 
                   mean          sd        2.5%         50%       97.5% Rhat n.eff
B.veg[1]    -0.34479390 0.483122944 -1.31366106 -0.34700159  0.61779711 1.01   406
B.veg[2]    -0.05913065 0.469530871 -0.96775483 -0.05933596  0.90167543 1.01   467
B.veg[3]     0.35390332 0.627096530 -0.83737075  0.33718958  1.62173108 1.00   979
B.veg[4]    -0.85104895 0.513356493 -1.82530443 -0.85920976  0.19214433 1.02   809
B.veg[5]    -1.67264736 0.515867273 -2.67915010 -1.67843962 -0.64570645 1.00   769
mean.M       0.10768498 0.008129811  0.09220483  0.10773025  0.12436626 1.00  3066
mean.Pi[1]   0.80081134 0.119850885  0.52007759  0.82027819  0.97153337 1.00 15000
mean.Pi[2]   0.92083306 0.052774582  0.79161348  0.93144510  0.99082366 1.00  2233
mean.Pi[3]   0.94155705 0.039953276  0.83982275  0.95019811  0.99261864 1.00  1806
mean.Pi[4]   0.96203250 0.025634244  0.89898895  0.96750264  0.99527102 1.02  2122
mean.Pi[5]   0.95958218 0.027859615  0.88819459  0.96547874  0.99472162 1.00  2043
mean.Pi[6]   0.96673139 0.022956973  0.90976143  0.97188358  0.99573344 1.00  2075
mean.Pi[7]   0.95397480 0.032247813  0.87325530  0.96149128  0.99457110 1.00  1838
mean.Pi[8]   0.91935446 0.045608848  0.80936658  0.92716815  0.98609742 1.00  2232
mean.Pi[9]   0.93520821 0.042023168  0.83268826  0.94315243  0.99187948 1.00  2273
mean.Pi[10]  0.95338321 0.030934542  0.87537166  0.95964345  0.99356744 1.00  2215
mean.Pi[11]  0.95104617 0.029216079  0.87962753  0.95647665  0.99257431 1.00  2212
mean.Pi[12]  0.93689368 0.040674256  0.83729503  0.94462622  0.99192101 1.00  1842
mean.Pi[13]  0.93786120 0.035383616  0.85443172  0.94338450  0.98897391 1.00  1622
mean.Pi[14]  0.89813689 0.052258175  0.78092677  0.90526200  0.98009663 1.00  1674
mean.Pi[15]  0.88834290 0.057945919  0.75517373  0.89634818  0.97770531 1.00  1767
mean.Pi[16]  0.95237677 0.031689588  0.87339451  0.95864346  0.99404807 1.00  1485
mean.Pi[17]  0.83444248 0.056301124  0.71772275  0.83809642  0.93625531 1.00  1542
mean.Po[1]   0.49907695 0.167958318  0.18005577  0.50053521  0.81598895 1.00 15596
mean.Po[2]   0.45447880 0.158016279  0.16586859  0.45241199  0.76417707 1.00  3283
mean.Po[3]   0.43868443 0.130187681  0.19708958  0.43292696  0.70118672 1.00  3468
mean.Po[4]   0.27770533 0.093223964  0.11929206  0.27067284  0.47736647 1.00  3378
mean.Po[5]   0.26091714 0.076892399  0.12658753  0.25612749  0.42633419 1.00  3510
mean.Po[6]   0.32658299 0.076853356  0.18738174  0.32209936  0.48457968 1.00  3370
mean.Po[7]   0.30272153 0.070286432  0.17145211  0.29972245  0.44659313 1.00  3436
mean.Po[8]   0.30010644 0.062315067  0.18900451  0.29627201  0.42821981 1.00  3602
mean.Po[9]   0.27270500 0.058064361  0.16661092  0.27116828  0.39262071 1.00  3349
mean.Po[10]  0.22989781 0.051497137  0.13618913  0.22700314  0.33849829 1.00  3491
mean.Po[11]  0.13919231 0.042217010  0.06901433  0.13512359  0.23092050 1.00  3185
mean.Po[12]  0.18919291 0.042705233  0.11386280  0.18666425  0.27752712 1.00  3245
mean.Po[13]  0.12639640 0.033858823  0.06873316  0.12395831  0.19877968 1.00  3359
mean.Po[14]  0.04619488 0.020293375  0.01532578  0.04307890  0.09372772 1.01  2927
