Information and diagnostics 
=========================== 
Total iter:                       5000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.01 
Min n.eff:                        1553 


Model summary 
============= 
                  mean          sd       2.5%        50%      97.5% Rhat n.eff
mean.M      0.10764867 0.007957588 0.09275958 0.10750540 0.12325516 1.00  3077
mean.Pi[1]  0.79960444 0.120964098 0.51787751 0.82004278 0.97237047 1.00 16209
mean.Pi[2]  0.92148306 0.052449114 0.78857407 0.93296837 0.98993281 1.00  2277
mean.Pi[3]  0.94281945 0.037505460 0.85459007 0.95034713 0.99214968 1.00  2164
mean.Pi[4]  0.96223075 0.025092827 0.89964145 0.96720505 0.99527228 1.01  1927
mean.Pi[5]  0.95903749 0.028315804 0.88862710 0.96526964 0.99487245 1.00  2056
mean.Pi[6]  0.96649076 0.023016626 0.90769025 0.97155534 0.99556033 1.01  2159
mean.Pi[7]  0.95582689 0.029915727 0.88049511 0.96244167 0.99395528 1.00  2194
mean.Pi[8]  0.92020487 0.044830632 0.81527861 0.92734793 0.98449280 1.00  2350
mean.Pi[9]  0.93608674 0.042140486 0.83396467 0.94532014 0.99124989 1.00  2227
mean.Pi[10] 0.95173694 0.032476142 0.87021267 0.95899717 0.99391479 1.00  1953
mean.Pi[11] 0.95149390 0.029862810 0.87866735 0.95690152 0.99179029 1.00  1942
mean.Pi[12] 0.93712711 0.041613586 0.83663227 0.94624138 0.99210512 1.00  1609
mean.Pi[13] 0.93896733 0.034266560 0.85772487 0.94391412 0.98920597 1.01  1961
mean.Pi[14] 0.89884126 0.052601733 0.77726868 0.90593083 0.97970881 1.01  1726
mean.Pi[15] 0.89034253 0.056933090 0.76070249 0.89896956 0.97673751 1.00  1768
mean.Pi[16] 0.95358487 0.030407699 0.87995707 0.96003150 0.99417240 1.00  1608
mean.Pi[17] 0.84660096 0.055709545 0.72906625 0.85104103 0.94717975 1.00  1553
mean.Po[1]  0.50169678 0.168073143 0.18511992 0.50123343 0.81745318 1.00 14919
mean.Po[2]  0.45521027 0.160258753 0.16041044 0.45185083 0.76510252 1.00  3580
mean.Po[3]  0.43889491 0.129912772 0.19654132 0.43356958 0.69552055 1.00  3640
mean.Po[4]  0.27603021 0.092209455 0.11521754 0.26764259 0.47206373 1.00  3443
mean.Po[5]  0.26158558 0.079300790 0.12422904 0.25578746 0.43633123 1.01  3147
mean.Po[6]  0.32679880 0.076080999 0.18972177 0.32331138 0.48168652 1.00  3505
mean.Po[7]  0.30483477 0.069354667 0.17866197 0.30209033 0.44562371 1.00  3195
mean.Po[8]  0.29902616 0.062406130 0.18833684 0.29656283 0.42738539 1.00  3188
mean.Po[9]  0.27273078 0.058418039 0.16824210 0.26981598 0.39426939 1.00  3267
mean.Po[10] 0.23004710 0.051274189 0.13532820 0.22827950 0.33581146 1.00  3216
mean.Po[11] 0.14073697 0.043416463 0.06840013 0.13670870 0.23677060 1.00  3225
mean.Po[12] 0.18859916 0.041284457 0.11462845 0.18675797 0.27516070 1.00  3418
mean.Po[13] 0.12769745 0.034138660 0.06911395 0.12513434 0.20463987 1.00  3210
mean.Po[14] 0.04614399 0.019774623 0.01581916 0.04350407 0.09193002 1.00  2978
mean.Po[15] 0.15497716 0.033365221 0.09775904 0.15244107 0.22572843 1.00  3573
mean.Po[16] 0.08044040 0.024376630 0.03906752 0.07781501 0.13260409 1.00  3232
mean.Po[17] 0.08767792 0.025499263 0.04382771 0.08588940 0.14422824 1.00  3399
mean.R      0.50959951 0.054168157 0.40357961 0.50876660 0.61665187 1.00  3026
mean.rO[1]  0.50108741 0.166975704 0.18653863 0.50063669 0.82125262 1.00 15433
mean.rO[2]  0.50227485 0.165811484 0.18410295 0.50313758 0.81755482 1.00  3637
mean.rO[3]  0.71150815 0.115830630 0.46765991 0.72161804 0.90743676 1.00  3477
mean.rO[4]  0.69221725 0.124857951 0.42120471 0.70166285 0.89983267 1.00  3346
mean.rO[5]  0.71290303 0.116269113 0.46026110 0.72360154 0.90825186 1.00  3530
mean.rO[6]  0.60367900 0.145763568 0.31185023 0.60971539 0.86495851 1.00  3550
mean.rO[7]  0.66653327 0.133032077 0.38843545 0.67640942 0.89459831 1.00  3330
mean.rO[8]  0.50307915 0.167365451 0.18670945 0.50463971 0.81532060 1.00  3590
mean.rO[9]  0.55585283 0.157046916 0.24471874 0.55767107 0.84669703 1.00  3359
mean.rO[10] 0.63612699 0.136737194 0.35218125 0.64195888 0.87784586 1.00  3351
mean.rO[11] 0.60042981 0.148155666 0.29882424 0.60444744 0.86497344 1.00  3647
mean.rO[12] 0.55639108 0.158690717 0.24499253 0.56409506 0.84826684 1.00  3525
mean.rO[13] 0.55513175 0.155521228 0.25124101 0.56064492 0.83939328 1.00  3821
mean.rO[14] 0.50634817 0.167724049 0.18374263 0.50476901 0.81996860 1.00  3613
mean.rO[15] 0.63209451 0.137016190 0.34868316 0.63875113 0.87249432 1.00  3348
mean.rO[16] 0.55940690 0.156400771 0.24697379 0.56631256 0.84539853 1.00  3513
mean.rO[17] 0.34492773 0.148178808 0.10491444 0.32878258 0.66616756 1.00  2594
mean.rR[1]  0.50008941 0.166966428 0.18169450 0.50134104 0.81281338 1.00 15481
mean.rR[2]  0.54992802 0.154651052 0.24462892 0.55326175 0.83434651 1.00  3535
mean.rR[3]  0.69232624 0.124761008 0.42521350 0.70494011 0.89822204 1.00  3211
mean.rR[4]  0.59627041 0.148090808 0.29690518 0.60104743 0.85653512 1.00  3194
mean.rR[5]  0.66726750 0.128146073 0.39232659 0.67677165 0.89174918 1.01  3624
mean.rR[6]  0.71368920 0.115562627 0.46138821 0.72305131 0.90764822 1.00  3549
mean.rR[7]  0.71424308 0.115227192 0.45766341 0.72638141 0.90954142 1.00  3367
mean.rR[8]  0.49897902 0.163988822 0.18353441 0.50027087 0.80470730 1.00  3361
mean.rR[9]  0.60284580 0.149986906 0.29094495 0.61114028 0.86819238 1.00  3268
mean.rR[10] 0.66537399 0.131067001 0.39447580 0.67387297 0.88910528 1.00  3388
mean.rR[11] 0.55566834 0.157145809 0.23731076 0.56176838 0.84093849 1.00  3531
mean.rR[12] 0.69237238 0.124859655 0.42491546 0.70345141 0.89866138 1.00  3195
mean.rR[13] 0.55433885 0.156919895 0.24826586 0.55667205 0.84427089 1.00  3638
mean.rR[14] 0.69090138 0.123393503 0.42727276 0.70172559 0.90257690 1.00  3308
mean.rR[15] 0.55426358 0.156408702 0.24327285 0.56226330 0.83966308 1.00  3391
mean.rR[16] 0.55561181 0.155021779 0.25054339 0.55648767 0.83875464 1.00  3517
mean.rR[17] 0.34198742 0.148456166 0.10103712 0.32850045 0.65823271 1.00  2680
mu.juv      0.91161285 0.020638413 0.86770041 0.91310340 0.94738881 1.00  3380
mu.pre      0.93346842 0.015889517 0.89893558 0.93467723 0.96164013 1.00  2504
mu.pri      0.96613585 0.007912549 0.94885015 0.96684205 0.97962273 1.00  2909
mu.sen      0.92560852 0.014865265 0.89414742 0.92674047 0.95240397 1.00  2749
mu.sub      0.94502330 0.012716142 0.91763981 0.94619141 0.96724210 1.00  2984
